abbreviate ,/v./@縮略;
aberration ,/n./@失常;,/n./@畸變;,/n./@錯位;,/n./@失焦;
abominable ,/adj./@可惡的;,/adj./@可憎的;,/adj./@討厭的;
abrogation ,/n./@廢除;,/n./@取消;
absolutely ,/adv./@完全地;,/adv./@绝对地;
abstemious ,/adj./@有節制的;
accelerate ,/v./@加速;,/v./@促进;,/v./@增速;
acceptable ,/adj./@可接受的;
acceptance ,/n./@接受;,/n./@贊同;,/n./@承兌;,/n./@承認;
accessible ,/adj./@可到达的;
accidental ,/adj./@意外的;
accomplish ,/v./@完成;
accordance ,/n./@符合;
accumulate ,/n./@堆积;
accurately ,/adj./@精确地;
accusation ,/n./@控告;
accusative ,/adj./@賓格的;,/n./@賓格;
activation ,/n./@激活;
additional ,/adj./@附加的;,/adj./@增加的;
adjustment ,/n./@调整;
administer ,/v./@管理;,/v./@执行;
adrenaline ,/n./@肾上腺素;
adulterate ,/v./@摻雜;
affiliated ,/adj./@附属的;
affliction ,/n./@苦难;,/n./@苦恼;,/n./@折磨;
afterwards ,/adv./@後來;,/adv./@之後;
aggrandize ,/v./@增加;,/n./@提高;
aggression ,/n./@侵略;
aggressive ,/adj./@冒犯的;
agronomist ,/n./@農學家;,/n./@農藝學家;
allegation ,/n./@主张;,/n./@断言;
allegiance ,/n./@忠誠;
allocation ,/n./@分配;
amalgamate ,/v./@合併;
amateurish ,/adj./@外行的;,/adj./@業餘的;,/adj./@不熟練的;
ambassador ,/n./@大使;
ambivalent ,/adj./@矛盾的;,/adj./@相克的;
ameliorate ,/v./@改善;
ammunition ,/n./@弹药;
anesthetic ,/n./@止痛劑;,/adj./@無感覺的;
Anglophone ,/n./@說英語的人;,/adj./@說英語的;
annihilate ,/v./@殲滅;
annotation ,/n./@注释;,/n./@註解;,/n./@釋文;
antagonism ,/n./@敵對;,/n./@對抗;
antagonist ,/n./@敵手;,/n./@敵人;,/n./@對手;
antagonize ,/v./@激怒;
antecedent ,/n./@前事;,/n./@前情;,/n./@先行詞;,/n./@前身;,/n./@祖先;,/adj./@在先的;,/adj./@先前的;,/n./@前件;,/n./@前項;
antibiotic ,/adj./@抗生的;,/n./@抗生素;
anticipant ,/adj./@预期的;
anticipate ,/v./@预期;
antimatter ,/n./@反物质;
antiquated ,/adj./@過時的;
antitheses ,/redirected./@target="antithesis";
antithesis ,/n./@對立面;,/n./@對立;,/n./@對照;
antonymous ,/adj./@反義的;
apocalypse ,/n./@启示;,/n./@天启;
Apocalypse ,/n./@天启;
apocryphal ,/adj./@假的;
apoplectic ,/adj./@極度憤怒的;
apothecary ,/n./@藥劑師;,/n./@藥材商;
apparently ,/adv./@明显地;
apparition ,/n./@鬼魂;,/n./@幽靈;,/n./@幻影;,/n./@幻象;,/n./@異象;
appearance ,/n./@出现;,/n./@容貌;
applicable ,/adj./@適用的;
appreciate ,/v./@感激;,/v./@感谢;
apprentice ,/n./@学徒;
aquamarine ,/n./@海藍寶石;
archbishop ,/n./@大主教;
aristocrat ,/n./@贵族;
arithmetic ,/n./@算術;
articulate ,/v./@明确表达;,/vt./@清晰地表達;,/adj./@表達清晰的;,/adj./@善於表達的;
aspiration ,/n./@愿望;,/n./@志向;
assessment ,/n./@评估;
assignment ,/n./@任務;,/n./@作業;
assortment ,/n./@混搭;,/n./@什錦;
assumption ,/n./@猜想;
astounding ,/adj./@令人震惊的;
astriction ,/n./@便秘;,/n./@限制;,/n./@束縛;
atmosphere ,/n./@气氛;,/n./@大气;
attachment ,/n./@依附;,/n./@附件;,/n./@愛慕;
attracting ,/adj./@吸引人的;
attraction ,/n./@吸引;,/n./@吸引力;
attractive ,/adj./@有吸引力的;
auditorium ,/n./@禮堂;,/n./@會堂;,/n./@觀衆席;
auscultate ,/v./@听诊;,/v./@听诊;
auspicious ,/adj./@吉祥的;,/adj./@吉兆的;
autocratic ,/adj./@獨裁的;
automobile ,/n./@汽车;
autonomous ,/adj./@自主的;,/adj./@自治的;,/adj./@獨立存在的;
background ,/n./@背景;,/n./@經歷;
