am ,/v./@是;
an ,/art./@一個;,/adj./@一個;
as ,/conj./@由于;,/prep./@如同;,/conj./@当;,/prep./@作爲;
at ,/prep./@在;,/prep./@以;
ax ,/n./@斧;
be ,/v./@是;,/prep./@在;
by ,/prep./@通过;,/prep./@被;
do ,/v./@做;,/aux./@做;
ex ,/adj.//pref./@之前的;,/pref./@不包括;,/pref./@除外;,/pref./@之外的;
go ,/v./@去;,/v./@走;,/v./@到;
he ,/pron./@他;
hi ,/int./@你好;
if ,/conj./@如果;
im ,/pref./@否@定;,/pref./@相反;,/pref./@向内;,/pref./@入;
in ,/prep./@在@裏;,/prep./@在@内;
is ,/v./@是;
it ,/pron./@它;
LV ,/abbr./@路易斯.威登;
me ,/pron./@我;
my ,/pron.//adj./@我的;
no ,/adj./@不;
of ,/prep./@關於;,/prep./@屬於;
on ,/prep./在@上@方;
or ,/conj./@或者;
ox ,/n./@牛;,/n./@公牛;
re ,/adv.//pref./表@再@次;
so ,/conj./@所以;,/adv./@如此;,/pron./@这样;
to ,/prep./@對;,/prep./@去;,/prep./@到;,/prep./@向;
TV ,/n./@电视;
UK ,/abbr./@英国;
up ,/adv./@向上;,/prep./在(...)之@上;
us ,/pron./@我们;
we ,/pron./@我们;
