abduct ,/v./@綁架;
abject ,/adj./@卑鄙的;,/adj./@可憐的;,/adj./@不幸的;
abjure ,/v./@發誓放棄;,/v./@抵制;
ablush ,/adj./@臉紅的;
aboard ,/adj./@在船上;,/adj./@在車上;,/adj./@上船;,/adj./@上飛機;
abroad ,/adv./@在国外;,/adv./@到国外;,/adv./@在流传中;
abrupt ,/adj./@突然;
absent ,/adj./@缺席的;,/adj./@缺少的;
absorb ,/v./@吸收;,/v./@理解;
absurd ,/adj./@荒謬的;,/adj./@荒唐的;
accede ,/v./@同意;
accent ,/v./@重讀;,/n./@口音;,/v./@強調;
accept ,/v./@接受;
access ,/v./@使用;,/v./@接近;,/v./@進入;
accord ,/v./@符合;,/v./@一致;,/v./@根据;,/n./@协议;
accrue ,/v./@产生;,/v./@发生;
accuse ,/v./@控告;
acquit ,/vt./@宣告無罪;,/vt./@免罪;,/vt./@免責;,/vt./@清償;
action ,/n./@行動;,/n./@行爲;
active ,/adj./@積極的;,/adj./@活躍的;
actual ,/adj./@眞實的;
addict ,/v./@沉溺;
adhere ,/v./@依附;,/v./@粘附;,/vi./@遵守;,/vi./@堅持;
adjust ,/v./@調整;
admire ,/v./@欽佩;,/v./@仰慕;
adrift ,/adj./@漂浮著的;,/adj./@漂流著的;,/adv./@漂浮著;,/adv./@漂流著;
advent ,/n./@出現;,/n./@到來;,/n./@降臨;
Advent ,/n./@基督降臨;,/n./@基督降臨節;
adverb ,/n./@副詞;
advert ,/v./@引起註意;
advice ,/n./@建議;
advise ,/v./@建議;
aerate ,/vt./@使通氣;,/vt./@使透氣;,/vt./@充氣於;
aerial ,/adj./@空中的;,/adj./@航空的;,/adj./@天空的;,/adj./@空氣的;,/n./@天綫;
affair ,/n./@事情;
affect ,/v./@影響;
affirm ,/v./@斷定;,/vt./@申明;,/vt./@確認;,/vt./@證實;
afield ,/adj./@在遠處;
afraid ,/v./@恐怕;,/v./@害怕;
agency ,/n./@代理;
agenda ,/n./@議事日程;
agonal ,/adj./@極度痛苦的;,/adj./@臨死的;,/adj./@瀕死的;
albeit ,/conj./@雖然;,/conj./@卽使;
albion ,/n./@英格蘭@或不列顛的美稱;
alcove ,/n./@凹处;
alight ,/adj./@燒著的;
alkali ,/n./@鹼;
allege ,/v./@斷言;,/v./@宣稱;
allude ,/v./@間接提到;
allure ,/v./@吸引;
almost ,/adv./@幾乎;
always ,/adv./@總是;
amoeba ,/n./@阿米巴;,/n./@变形虫;
amount ,/n./@數量;
ampere ,/n./@安培;
