abalone ,/n./@鮑魚;
abandon ,/v./@抛棄;
abiding ,/adj./@持久的;
ability ,/n./@能力;
abolish ,/v./@廢除;,/v./@取消;
abreast ,/adv./@並排;,/adv./@並列;,/adv./@並肩;
abscond ,/vi./@潛逃;,/vi./@逃亡;,/vi./@逃走;
absence ,/n./@缺席;
absolve ,/v./@解除責任;
abstain ,/v./@自我克制;
academy ,/n./@學院;
acclaim ,/v./@稱讚;
account ,/n./@賬戶;,/v.//n./@解釋;,/v./@認爲;
accrete ,/v./@逐漸增長;
acerbic ,/adj./@尖酸的;,/adj./@尖刻的;
achieve ,/v./@完成;,/v./@實現;
acquire ,/v./@習得;
acrobat ,/n./@雜技演員;,/n./@特技演員;
acronym ,/n./@首字母縮略詞;
actress ,/n./@女演員;
actuate ,/vt./@開動;,/vt./@啟動;,/vt./@激勵;,/vt./@驅使;
adamant ,/adj./@固執的;,/adj./@堅定的;,/adj./@堅決的;
address ,/n./@地址;,/n./@演講;,/n./@致辭;,/v./@從事;
adjourn ,/v./@延期;,/vt./@中止;,/vt./@休會;,/vt./@休庭;
adjunct ,/n./@附屬物;
adulate ,/v./@諂媚;
advance ,/v./@发展;,/v./@前進;,/v./@提前;
adverse ,/adj./@逆向的;,/adj./@相反的;,/adj./@不利的;,/adj./@反對的;,/adj./@敵對的;,/adj./@反面的;,/adj./@有害的;,/adj./@逆的;
aerobic ,/adj./@需氧的;,/adj./@有氧的;
affable ,/adj./@和藹的;
afflict ,/v./@折磨;
against ,/v./@反對;
agility ,/n./@敏捷;,/n./@靈活;
agitate ,/v./@煽動;
agonize ,/v./@痛苦;
ailment ,/n./@疾病;,/n./@小病;
aimless ,/adj./@无目的的;
airfoil ,/n./@機翼;,/n./@螺旋槳;
airport ,/n./@飛機場;
airship ,/n./@氣艇;
alchemy ,/n./@點金術;
alcohol ,/n./@酒;
algebra ,/n./@代數學;
alloted ,/adj./@轉款的;,/adj./@撥出的;
already ,/adv./@已經;
alright ,/adv./@已經;
alveoli ,/redirected./@target="alveolus";
amateur ,/adj./@業余的;
amazing ,/adj./@令人驚訝的;
ambient ,/adj./@周圍的;,/adj./@外界的;,/adj./@環繞的;
amenity ,/n./@舒適;,/n./@和諧;
America ,/n./@美國;
amiable ,/adj./@和藹的;,/adj./@亲切的;,/adj./@亲切友好的;
amnesty ,/n./@大赦;
amongst ,/prep./@在之中;
amplify ,/v./@放大;,/v./@详述;,/vt./@擴大;,/vt./@誇張;,/vt./@增強;
analogy ,/n./@類比;,/n./@類似;,/n./@類推;
analyse ,/v./@分析;
analyze ,/v./@分析;
anarchy ,/n./@無政府;,/n./@混亂;,/n./@無秩序;
anatomy ,/n./@解剖學;
ancient ,/adj./@古代的;
android ,/n./@機器人;
angelic ,/adj./@天使般的;,/adj./@天使的;,/adj./@似天使的;,/adj./@純潔的;,/adj./@純真的;
angular ,/adj./@角狀的;
animate ,/adj./@活的;
anomaly ,/n./@異常;,/n./@反常;
another ,/adj./@另一個;
antenna ,/n./@觸角;,/n./@天線;
antique ,/n./@古董;,/adj./@古老的;
antonym ,/n./@反義詞;
anxiety ,/n./@緊張;,/n./@焦慮;
anxious ,/adj./@焦慮的;
apology ,/v./@道歉;
apparel ,/n./@服裝;,/n./@衣服;,/v./@穿@衣;
appease ,/vt./@安抚;,/vt./@平息;,/vt./@抚慰;,/vt./@缓解;
applaud ,/v./@鼓掌;,/v./@稱贊;,/v./@喝彩;
appoint ,/v./@任命;,/v./@約定;
apprise ,/v./@通知;
approve ,/v./@同意;,/v./@批准;
apricot ,/n./@杏;,/n./@杏樹;,/adj./@杏黃色的;
apropos ,/adj./@恰好的;
aquifer ,/n./@含水土層;,/n./@蓄水層;
archaic ,/adj./@古代的;,/adj./@古體的;,/adj./@過時的;,/adj./@已廢的;
archive ,/n./@檔案館;,/n./@檔案文件;,/v./@存档;
arduous ,/adj./@努力的;
arousal ,/n./@喚醒;,/n./@覺醒;,/n./@激勵;
arrange ,/v./@安排;
arsenal ,/n./@軍械庫;,/n./@兵工廠;,/n./@武器储备;,/n./@武器庫;
article ,/n./@文章;,/n./@條款;,/n./@物品;,/n./@冠詞;
artisan ,/n./@工匠;,/n./@技工;
ascetic ,/adj./@苦行的;
ascribe ,/vt./@歸因於;,/vt./@歸屬於;
aseptic ,/adj./@消毒的;
asexual ,/adj./@無性的;,/adj./@無性繁殖的;,/adj./@無性生殖的;,/adj./@無性慾的;,/adj./@無性功能的;,/adj./@無性器官的;,/adj./@性冷淡的;,/adj./@性冷感的;
ashamed ,/adj./@羞愧的;,/adj./@害臊的;
asphalt ,/n./@瀝青;
assault ,/v./@襲擊;,/v./@攻擊;,/v./@突襲;
assuage ,/v./@平息;,/v./@緩和;,/v./@減輕;
atheism ,/n./@無神論;,/n./@不信神;
athlete ,/n./@田徑運動員;
atrophy ,/n./@萎縮;,/n./@衰退;
attempt ,/v./@企圖;,/v./@嘗試;,/n./@企圖;,/n./@嘗試;
attract ,/v./@吸引;
auction ,/n./@拍賣;,/vt./@拍賣;
augment ,/v./@增大;,/v./@加強;,/v./@擴大;,/v./@增加;,/v./@提高;
aureate ,/adj./@金色的;,/adj./@鍍金的;,/adj./@燦爛的;
auspice ,/n./@贊助;,/n./@主辦;,/n./@吉兆;,/n./@預兆;
austere ,/adj./@嚴峻的;
autopsy ,/n./@驗屍;
avarice ,/n./@貪婪;,/n./@貪慾;
average ,/adj./@平均的;
aviator ,/n./@飛行員;
avidity ,/n./@狂熱;
avocado ,/n./@鱷梨;,/n./@鱷梨樹;
awesome ,/adj./@可怕的;
awkward ,/adj./@尴尬的;
baggage ,/n./@行李;
baklava ,/n./@蜜糖果仁千层酥;,/n./@果仁蜜饼;
balance ,/n./@平衡;
balcony ,/n./@陽台;,/n./@露台;,/n./@包廂;,/n./@樓廳;
balloon ,/n./@氣球;
baloney ,/n./@胡話;,/n./@瞎扯;
baptise ,/v./@施洗;,/v./@洗禮;,/v./@洗滌;
baptize ,/v./@施洗;,/v./@命名;
bargain ,/v./@討價還價;
barrack ,/n./@兵營;,/n./@營房;,/v./@駐兵;,/v./@住入;,/vt./@起哄;,/vt./@喝倒彩;
barrage ,/n./@彈幕;,/n./@火力網;
barrier ,/n./@障礙;,/n./@壁壘;
bastard ,/n./@私生子;
bathtub ,/n./@浴缸;,/n./@澡盆;
battery ,/n./@電池;
bearing ,/n./@軸承;
because ,/conj./@因爲;
bedrock ,/n./@基岩;,/n./@基礎;,/n./@根基;,/n./@基石;
bedroom ,/n./@臥室;
beguile ,/v./@欺騙;
Belgium ,/n./@比利時;
believe ,/v./@相信;
beloved ,/adj./@敬愛的;,/n./@愛人;
beneath ,/prep./(在...)@之下;
benefit ,/n./@利益;
bereave ,/vt./使@丧失;,/vt./使@失去;
besides ,/adv.//prep./@除此之外;
besiege ,/v./@圍;,/v./@包圍;,/v./@圍困;,/v./@圍攻;
between ,/prep./@在之間;
bewitch ,/vt./@施魔術於;,/vt./@施魔法於;
bicycle ,/n./@自行車;,/n./@雙輪車;
billion ,/n./@十億;
biology ,/n./@生物學;
bipolar ,/adj./@有兩極的;,/adj./@躁郁的;
biscuit ,/n./@餅干;
bivouac ,/n./@露營;,/n./@露宿;
bizarre ,/adj./@奇異的;,/adj./@離奇的;,/adj./@異乎尋常的;
bladder ,/n./@膀胱;
blanket ,/n./@地毯;
blatant ,/adj./@明显的;,/adj./@公然的;,/adj./@露骨的;
blemish ,/n./@瑕疵;,/n./@汙點;,/vt./@玷汙;
blended ,/adj./@混合的;
blister ,/n./@水泡;
blondie ,/n./@金髮碧眼的人;
blossom ,/v./@綻放;
blunder ,/n./@大錯;
bolster ,/n./@支持;,/n./@長枕;,/vt./@支持;,/vt./@支撐;
bombard ,/vt./@轰炸;,/vt./@轰击;
bonfire ,/n./@篝火;,/n./@營火;
bonjour ,/n./@你好;
booklet ,/n./@小冊子;
boredom ,/n./@厭倦;
borough ,/n./@區;,/n./@自治市鎭;
boulder ,/n./@巨石;,/n./@大圓石;,/n./@巨礫;
bouquet ,/n./@花束;,/n./@酒香;
bracket ,/n./@括號;
bravado ,/n./@虛張聲勢;,/n./@冒險;
bravery ,/n./@勇氣;
breadth ,/n./@寬度;,/n./@大量;
breathe ,/v./@呼吸;
brevity ,/n./@簡潔;
bristly ,/adj./@有剛毛的;,/adj./@易怒的;
Britain ,/n./@不列顛;
British ,/adj./@英國的;,/adj./@英語的;,/adj./@不列顛的;,/n./@英國人;
brittle ,/adj./@易碎的;
bromine ,/n./@溴;
brothel ,/n./@妓院;
brother ,/n./@兄弟;
brought ,/v./@帶;
Brummie ,/n./@伯明翰方言;,/n./@伯明翰人;
brutish ,/adj./@粗野的;,/adj./@殘忍的;
buffalo ,/n./@水牛;,/n./@野牛;,/n./@兩栖坦克;
buffoon ,/n./@醜角;,/n./@滑稽演員;
bulimia ,/n./@贪食症;
burglar ,/n./@竊賊;
burnout ,/n./@燒壞;,/n./@燃料燒盡;,/n./@精疲力竭;,/n./@燃盡;,/n./@極度勞累;,/n./@疲勞過度;
burrito ,/n./@玉米粉卷饼;
bustard ,/n./@大鴇;
butcher ,/n./@屠夫;
buttock ,/n./@半邊臀部;
cabbage ,/n./@捲心菜;,/n./@圓白菜;
Cabbala ,/redirected./@target="Kabbalah";
cabinet ,/n./@內閣;,/n./@壁櫥;,/n./@座舱;,/n./@柜;
cadaver ,/n./@屍體;,/n./@死屍;,/n./@屍首;
calcium ,/n./@钙;
canvass ,/vt./@征求;,/vt./@兜售;,/vt./@拉选票;
capable ,/adj./@潛在的;,/adj./@可能的;
capella ,/n./@教堂;
capital ,/n./@首都;,/n./@資本;,/adj./@死刑的;
capsize ,/v./@傾覆;,/v./@翻覆;
capsule ,/n./@胶囊;,/n./@航天舱;,/n./@瓶封;
captain ,/n./@船長;
caption ,/n./@標題;
capture ,/v./@俘獲;,/v./@捕獲;
caracal ,/n./@獰貓;,/n./@野貓;
caramel ,/n./@焦糖;,/n./@飴糖;
caravan ,/n./@房车;,/n./@大篷车;,/n./@车队;,/n./@旅行队;
carbine ,/n./@卡賓槍;
carcass ,/n./@屍體;
careful ,/adj./@小心的;
carmine ,/n./@洋紅;,/adj./@洋紅色的;
carnage ,/n./@屠殺;
carouse ,/n./@畅饮;,/n./@欢宴;
carrier ,/n./@載體;,/n./@航空母艦;
cartoon ,/n./@卡通;,/n./@動漫;
cascade ,/n./@瀑布;,/v./@傾瀉;,/n./@層疊;
cashier ,/n./@出納;
Caspian ,/adj./@裡海的;
Catalan ,/adj./@加泰羅尼亞的;,/n./@加泰羅尼亞人;,/n./@加泰羅尼亞語;,/adj./@加泰羅尼亞人的;,/adj./@加泰羅尼亞語的;
catchup ,/n./@番茄醬;
caustic ,/adj./@腐蝕性的;,/adj./@苛性的;,/adj./@尖刻的;,/adj./@刻薄的;,/adj./@焦散的;
caution ,/n./@警告;,/n./@註意;
ceiling ,/n./@天花板;
celsius ,/n./@攝氏;
centaur ,/n./@半人馬;
Centaur ,/redirected./@target="Centaurus";
central ,/adj./@中央的;,/adj./@中心的;
ceramic ,/adj./@陶瓷的;,/n./@陶瓷;
certain ,/adj./@某一;,/adj./@必然的;,/adj./@確信;,/adj./@有把握的;
certify ,/v./@證明;,/v./@保證;
chalice ,/n./@杯;,/n./@酒杯;
chamber ,/n./@會議室;,/n./@會所;,/n./@大厅;
chaotic ,/adj./@混亂的;,/adj./@紊亂的;
chapter ,/n./@章節;
chariot ,/n./@双轮战车;
charity ,/n./@慈善;,/n./@施捨;,/n./@仁慈;
charter ,/n./@憲章;,/n./@特許證;
chassis ,/n./@底盤;,/n./@底座;,/n./@底架;,/n./@砲座;,/n./@起落架;
chemist ,/n./@藥劑師;,/n./@藥商;,/n./@化學家;
cherish ,/v./@珍視;
chicken ,/n./@小鷄;
chimney ,/n./@煙囪;
chinese ,/n./@漢語;
Chinese ,/n./@漢語;
chowder ,/n./@雜燴;
chronic ,/adj./@慢性的;,/adj./@長期的;,/adj./@久病的;,/adj./@習慣性的;
chuckle ,/v./@輕笑;
ciboria ,/redirected./@target="ciborium";
circuit ,/n./@逥路;,/n./@巡逥;,/n./@電路;
clamber ,/v./@攀登;
clarify ,/v./@澄清;
clarity ,/n./@清楚;,/n./@清晰;,/n./@明確性;
classic ,/adv./@經典的;
clatter ,/v./@嘩啦響;
cleanse ,/v./@淨化;
clement ,/adj./@寬容的;,/adj./@善良的;,/adj./@仁慈的;
climate ,/n./@氣候;
clobber ,/v./@擊倒;,/v./@痛打;
closure ,/n./@停止;
cluster ,/n./@群;,/n./@簇;,/n./@叢;,/n./@串;
clutter ,/n./@雜亂;
cocaine ,/n./@可卡因;,/n./@古柯鹼;
cockade ,/n./@帽徽;,/n./@帽章;,/n./@帽上的花結;
cockney ,/n./@倫敦東區佬;,/n./@倫敦東區土話;,/adj./@倫敦東區佬的;,/adj./@倫敦東區土話的;
cockpit ,/n./@座艙;,/n./@駕駛艙;,/n./@駕駛座;,/n./@鬥雞場;,/n./@戰場;
cognate ,/adj./@同源的;,/adj./@同根的;,/adj./@同系的;,/n./@同源詞;,/n./@同根詞;
collage ,/n./@拼貼畫;
collate ,/v./@整理;,/v./@核對;,/v./@校對;
collect ,/v./@收集;
college ,/n./@大學;,/n./@學院;
collide ,/v./@碰撞;,/v./@衝突;,/v./@抵觸;
colonel ,/n./@上校;,/n./@陸軍上校;
combine ,/v./@結合;
comical ,/adj./@滑稽的;
command ,/v./@命令;
