abandoned ,/adj./@被抛弃的;
abdominal ,/adj./@腹部的;
abominate ,/v./@痛恨;
absorbing ,/adj./@吸引人的;
abstinent ,/adj./@禁欲的;,/adj./@有節制的;,/adj./@飲食有度的;
absurdity ,/n./@荒谬;,/n./@荒唐;
acceptive ,/adj./@易接纳的;
accessory ,/n./@配件;,/n./@附件;,/adj./@附加的;,/adj./@附屬的;,/adj./@輔助的;,/n./@裝飾品;,/n./@從犯;
acclimate ,/v./@使適應;
accompany ,/v./@陪伴;
accordion ,/n./@手風琴;
acquiesce ,/v./@默许;,/v./@勉强同意;
addiction ,/n./@成瘾;
addictive ,/adj./@上瘾的;
adherence ,/n./@信奉;,/n./@堅持;,/n./@堅守;,/n./@固執;,/n./@依附;,/n./@遵守;,/n./@遵循;,/n./@信守;,/n./@黏附;
adjective ,/n./@形容词;
admirable ,/adj./@令人欽佩的;
adornment ,/n./@裝飾;,/n./@裝飾品;
adulthood ,/n./@成年;
adumbrate ,/v./@透露;
advantage ,/n./@优点;
adventure ,/n./@冒险;
adverbial ,/n./@狀語;,/adj./@副詞的;
adversary ,/n./@敵手;
advertise ,/v./@做广告;
aeroplane ,/n./@飛機;
aesthetic ,/adj./@美学的;,/adj./@審美的;
affidavit ,/n./@宣誓書;,/n./@口供書;
affiliate ,/v./联号;,/v./使@附属;,/v./@参加;,/n./@附属机构;,/vi./@并入;,/vi./@加入;
afternoon ,/n./@下午;
afterward ,/adv./@後來;,/adv./@之後;
aggravate ,/v./@加重;,/v./@惡化;
aggregate ,/v./@集合;
agitation ,/n./@鼓动;,/n./@搅动;,/n./@焦虑;,/n./@不安;
agreeable ,/adj./@惬意的;,/adj./@舒适的;,/adj./@易相处的;
aimlessly ,/adv./@无目的地;
albatross ,/n./@信天翁;,/n./@沉重負擔;
alchemist ,/n./@鍊金術士;,/n./@煉金師;
alcoholic ,/adj./@酒精的;
algorithm ,/n./@算法;
alignment ,/n./@對準;,/n./@準線;
alleviate ,/v./@減輕;,/v./@緩和;
alligator ,/n./@短吻鱷;
allocated ,/adj./@分配的;
allowance ,/n./@津贴;
alongside ,/prep./@在旁边;,/adv./@在旁边;
alternate ,/v./@交替;
aluminium ,/n./@鋁;
amazement ,/n./@驚奇;,/n./@詫異;
ambiguity ,/n./@歧義;,/n./@意義不明;,/n./@模稜兩可;
ambiguous ,/adj./@不確定的;,/adj./@模棱兩可的;
ambitious ,/adj./@有野心的;
ambulance ,/n./@救护车;,/n./@野戰醫院;
amorphous ,/adj./@無固定形狀的;
ampersand ,/n./@&;
amphibian ,/n./@兩棲動物;,/adj./@兩棲類的;
amplitude ,/n./@振幅;
amusement ,/n./@娱乐;,/n./@樂趣;,/n./@消遣;
analgesic ,/n./@鎮痛劑;
analogous ,/adj./@类似的;
anarchism ,/n./@無政府主義;
anarchist ,/n./@反抗權威的人;,/n./@無政府主義者;,/adj./@無政府主義的;
ancillary ,/adj./@次要的;
animation ,/n./@动画;,/n./@活力;,/n./@生機;
animosity ,/n./@敵意;,/n./@仇恨;,/n./@憎惡;
annotated ,/adj./@有註釋的;
anomalous ,/adj./@異常的;,/adj./@反常的;,/adj./@不正常的;,/adj./@不規則的;,/adj./@不普通的;
anonymous ,/adj./@匿名的;
anthology ,/n./@選集;,/n./@集粹;,/n./@精選集;
antiquate ,/adj./@废弃;,/adj./@过时;
antiquity ,/n./@古代;,/n./@古迹;,/n./@古物;,/n./@古老;
apartment ,/n./@公寓;
apathetic ,/adj./@冷漠的;
apologize ,/v./@道歉;
appalling ,/adj./@骇人的;
apparatus ,/n./@装置;,/n./@设备;
appealing ,/adj./@有吸引力的;
appendage ,/n./@附加物;,/n./@附屬物;,/n./@附屬器官;,/n./@附屬肢體;
appliance ,/n./@装置;,/n./@应用;
appraisal ,/v./@评价;
apprehend ,/v./@逮捕;
apprently ,/adv./@明显地;
arbitrary ,/adj./@专横的;,/adj./@任意的;
arbitrate ,/v./@仲裁;,/v./@公斷;
archetype ,/n./@典範;
arresting ,/adj./@吸引人的;
arrogance ,/n./@傲慢;,/n./@自大;
arthritic ,/adj./@关节炎的;,/adj./@患关节炎的;
arthritis ,/n./@关节炎;
artillery ,/n./@炮兵部隊;,/n./@炮;,/n./@大炮;,/n./@火砲;
ascendant ,/adj./@有影響力的;,/adj./@上升的;
aspersion ,/n./@誹謗;
assailant ,/n./@襲擊者;,/adj./@襲擊的;,/adj./@攻擊的;
assertion ,/n./@斷言;,/n./@聲明;,/n./@主張;,/n./@堅持;,/n./@要求;
assertive ,/adj./@自信的;
assistant ,/n./@助手;,/adj./@辅助的;
associate ,/v./@联系;
assurance ,/n./@保证;,/n./@确信;
astrology ,/n./@占星術;,/n./@占星學;
astronomy ,/n./@天文學;
attention ,/n./@注意;
attentive ,/adj./@注意的;,/adj./@留意的;
attribute ,/n./@属性;,/n./@特质;
