basketball ,/n./@篮球;
afterwards ,/adv./@後來;,/adv./@之後;
apparently ,/adv./@明显地;
scatheless ,/adj./@无损伤的;
assessment ,/n./@评估;
attachment ,/n./@依附;,/n./@附件;,/n./@愛慕;
watercress ,/n./@豆瓣菜;,/n./@西洋菜;
battleship ,/n./@战舰;,/n./@战列舰;
fraternity ,/n./@兄弟会;,/n./@联谊会;
trajectory ,/n./@軌道;,/n./@軌綫;,/n./@彈道;
handicraft ,/n./@手工艺品;
statistics ,/n./@统计;,/n./@统计学;
attracting ,/adj./@吸引人的;
flabbiness ,/n./@軟弱;
assignment ,/n./@任務;,/n./@作業;
transigent ,/adj./@妥协的;
mackintosh ,/n./@雨衣;
archbishop ,/n./@大主教;
washington ,/n./@华盛顿;
chalkboard ,/n./@黑板;
apocryphal ,/adj./@假的;
sacrosanct ,/adj./@神聖不可侵犯的;
smartphone ,/n./@智能手机;
accomplish ,/v./@完成;
background ,/n./@背景;,/n./@經歷;
adjustment ,/n./@调整;
translucid ,/adj./@半透明的;
resentment ,/n./@不滿;,/n./@忿恨;
settlement ,/n./@解决;,/n./@定居地;
department ,/n./@部@门;,/n./@系;
descendant ,/n./@子孙;,/n./@后裔;
lengendary ,/adj./@传奇般的;
seamstress ,/n./@女裁縫;
stepfather ,/n./@继父;
expectancy ,/n./@期待;
enchanting ,/adj./@吸引人的;
entrancing ,/adj./@吸引人的;
systematic ,/adj./@系統的;,/adj./@有組織的;
melancholy ,/n./@忧郁;,/n./@悲哀;,/n./@愁思;,/adj./@忧郁的;,/adj./@悲伤的;
metallurgy ,/n./@冶金学;
membership ,/n./@會員資格;,/n./@全體成員;
peppermint ,/n./@薄荷;,/n./@薄荷油;,/n./@薄荷糖;
presidency ,/n./@总统任期;
persistent ,/adj./@固执的;,/adj./@坚持的;
resignedly ,/adj./@听从地;
everything ,/pron./@所有事物;
hysterical ,/adj./@異常興奮的;,/adj./@歇斯底裏的;
henceforth ,/adv./@从此之后;
employment ,/n./@雇用;
retrospect ,/v./@回顾;
stepmother ,/n./@继母;
technology ,/n./@技术;
censorship ,/n./@审查制度;
fellowship ,/n./@团契;,/n./@组织;,/n./@友谊;
engrossing ,/adj./@吸引人的;
frequently ,/adv./@频繁地;
respectful ,/adj./@怀有敬意的;
simplicity ,/n./@簡單;,/n./@簡樸;,/n./@單純;
kidnapping ,/n./@绑架;,/n./@拐骗;
withdrawal ,/n./@撤退;,/n./@收回;
highlander ,/n./@高地人;
bitterness ,/n./@苦;,/n./@苦痛;,/n./@苦難;
distillery ,/n./@蒸餾;
friendship ,/n./@友谊;
girlfriend ,/n./@女朋友;
incredibly ,/adv./@难以置信地;
internship ,/n./@實習;,/n./@實習生;,/n./@實習期;
investment ,/n./@投资;
wilderness ,/n./@荒野;
philosophy ,/n./@哲学;
discordant ,/adj./@不一致的;,/adj./@不和諧的;,/adj./@刺耳的;
flintstone ,/n./@燧石;,/n./@打火石;
introspect ,/v./@自省;,/v./@反省;
difficulty ,/n./@困难;
disgusting ,/adj./@令人厌恶的;
circumvent ,/v./@包圍;,/v./@繞行;
instrument ,/n./@乐器;
contraband ,/adj./@走私;,/n./@走私;
nonchalant ,/adj./@冷淡的;,/adj./@不關心的;
programmer ,/n./@程序员;
constraint ,/n./@約束;
contradict ,/v./@反駁;,/v./@矛盾;
stochastic ,/adj./@隨機的;,/adj./@猜測的;
bottomless ,/adj./@無底的;
complement ,/n./@补充;
completely ,/adv./@完全地;
comprehend ,/v./@理解;,/v./@领悟;
condescend ,/v./@屈尊;,/v./@俯就;
controller ,/n./@控制器;,/n./@管理员;
conversely ,/adj./@相反的;
correspond ,/v./@相符合;
government ,/n./@政府;,/n./@政體;,/n./@管轄;
polychrome ,/n./@多彩;,/adj./@多彩的;,/adj./@多色的;
commentary ,/n./@实况报导;
contestant ,/n./@竞争者;,/n./@竞赛者;,/n./@争论者;
volleyball ,/n./@排球;
collecting ,/n./@收集;
complexity ,/n./@复杂@性;
prosperity ,/n./@繁榮;,/n./@興旺;
conformity ,/n./@遵守;
convincing ,/adj./@有说服力的;
conspiracy ,/n./@阴谋;,/n./@共谋;
profitably ,/adv./@有利地;
compliment ,/n./@恭维;
consistent ,/adj./@一致的;,/adj./@坚持的;,/adj./@始终如一的;
contingent ,/adj./@偶然的;,/adj./@或有的;,/n./@分遣隊;
thoughtful ,/adj./@深思的;
throughput ,/n./@生產量;
consultant ,/n./@顾问;
concurrent ,/adj./@同時發生的;
frustrated ,/adj./@受挫的;,/adj./@沮丧的;
successful ,/adj./@成功的;
supplement ,/v./@增補;,/v./@補充;,/n./@補充;
understand ,/v./@明白;,/v./@懂得;
blundering ,/adj./@浮躁的;
upbringing ,/n./@养育;
subscriber ,/n./@订阅者;,/n./@签署者;,/n./@捐献者;
