ameliorate ,/v./@改善;
aficionado ,/n./@狂熱愛好者;
aquamarine ,/n./@海藍寶石;
auditorium ,/n./@禮堂;,/n./@會堂;,/n./@觀衆席;
auspicious ,/adj./@吉祥的;,/adj./@吉兆的;
autonomous ,/adj./@自主的;,/adj./@自治的;,/adj./@獨立存在的;
automation ,/n./@自動化;
automobile ,/n./@汽车;
automotive ,/adj./@汽車的;,/adj./@機動車的;
evaluation ,/n./@评价;,/n./@评估;
equivocate ,/v./@模棱兩可;,/v./@支吾其詞;,/v./@含糊其辭;
initialize ,/v./@初始化;
initiative ,/n./@主动性;,/n./@主动权;
ionization ,/n./@電離;,/n./@離子化;
courageous ,/adj./@勇敢的;
ubiquitous ,/adj./@普遍存在的;,/adj./@随处可见的;,/adj./@無所不在的;,/adj./@到處存在的;
