adversative ,/adj./@反義的;,/n./@反義字;
alternative ,/adj./@选择性的;,/adj./@替代性的;
amphetamine ,/n./@安非他命;,/n./@安非他明;
masterpiece ,/n./@杰作;
materialism ,/n./@唯物主義;,/n./@實利主義;
anaesthetic ,/n./@麻醉藥;,/n./@麻醉劑;,/adj./@麻醉的;
appreciable ,/adj./@可感知的;
affectation ,/n./@做作;
aggregation ,/n./@集合;
altercation ,/n./@爭執;,/n./@鬥毆;,/n./@争吵;
planetarium ,/n./@天文館;,/n./@天文臺;,/n./@天象儀;,/n./@行星儀;,/n./@天體運轉模型;
haemorrhage ,/redirected./@target="hemorrhage";
archaeology ,/n./@考古學;
categorical ,/adj./@絕對的;,/adj./@明确的;,/adj./@斷言的;
haemoglobin ,/n./@血紅蛋白;
parasitical ,/adj./@寄生的;
cannibalize ,/vt./@拆取...的部件;,/vt./@食(同類)...的肉;,/vt./@減少...的銷量;,/vt./@調撥...的人員;
affirmative ,/adj./@肯定的;
maintenance ,/n./@维持;,/n./@抚养费;
anticipated ,/adj./@预期的;
participate ,/v./@参与;
assassinate ,/v./@刺殺;,/v./@暗殺;
archipelago ,/n./@群島;,/n./@列島;
calibration ,/n./@校準;,/n./@測定;,/n./@標定;,/n./@刻度;
fabrication ,/n./@製作;,/n./@虛構;
affirmation ,/n./@肯定;,/n./@确定;,/n./@确认;,/n./@證實;
analyzation ,/n./@分析;
nationality ,/n./@国籍;
application ,/n./@申请;,/n./@應用;
traditional ,/adj./@传统的;
carnivorous ,/adj./@食肉的;
radiculitis ,/n./@脊神经根炎;,/n./@神经根炎;
agriculture ,/n./@农业;
attribution ,/n./@归因;,/n./@属性;
accommodate ,/v./@容纳;,/v./@使适应;,/v./@适应;,/v./@调节;
apologetics ,/n./@護教學;,/n./@辯惑學;
braggadocio ,/n./@自夸;,/n./@吹牛;
approbation ,/n./@同意;
paradoxical ,/adj./@自相矛盾的;,/adj./@似是而非的;
appropriate ,/adj./@适当的;
approximate ,/v./@估计;
salvolatile ,/n./@嗅鹽;,/n./@揮發鹽;
lacquerware ,/n./@漆器;
manufacture ,/n./@制造;
calculation ,/n./@计算;
Renaissance ,/n./@文艺复兴;
feasibility ,/n./@可行性;
metastasize ,/vi./@轉移;,/vi./@擴散;
recalibrate ,/v./@重新校準;
renaissance ,/n./@复活;,/n./@再生;
evangelical ,/adj./@福音的;,/adj./@新教的;,/n./@福音派;
celebration ,/n./@庆祝;
declaration ,/n./@声明;
embarkation ,/n./@从事;,/n./@装载;
penetration ,/n./@渗透;
preparation ,/n./@准备;
reactionary ,/adj./@反動的;,/adj./@反動派的;,/n./@反動派;,/n./@反動分子;
reservation ,/n./@预约;,/n./@预订;,/n./@保留;,/n./@貯存;
sensational ,/adj./@轰动的;
exclamation ,/n./@感嘆;,/n./@呼喊;
expectation ,/n./@期待;,/n./@预期;,/n./@指望;
explanation ,/n./@解释;
extradition ,/n./@引渡;,/n./@归国;
spermatozoa ,/n./@精子;
extrapolate ,/vt./@推斷;,/vt./@外推;
germaphobia ,/redirected./@target="germophobia";
pedagogical ,/adj./@教育学的;,/adj./@教学法的;
treacherous ,/adj./@奸诈的;,/adj./@叛逆的;,/adj./@危险的;
whereabouts ,/n./@下落;,/n./@去向;,/n./@所在;,/n./@行蹤;,/adv./@在何處;
headquarter ,/n./@總部;,/n./@司令部;
measurement ,/n./@测量;,/n./@度量;
thesauruses ,/redirected./@target="thesaurus";
temperature ,/n./@气温;
treasurable ,/adj./@值得珍爱的;
therapeutic ,/adj./@治療的;,/adj./@治療學的;,/adj./@有益於健康的;
certificate ,/n./@证书;,/vt./以证书@授权;,/vt./以证书@批准;
deliverance ,/n./@解救;,/n./@救助;,/n./@釋放;
necessitate ,/vt./@需要;,/vt./@迫使;
precipitate ,/v./@促成;,/vt./@促使;,/vi./@沉澱;
existential ,/adj./@存在主義的;,/adj./@關乎存在的;,/adj./@關乎生存的;,/adj./@存在的;
exterminate ,/v./@消滅;,/v./@根除;,/vt./@滅絕;
designation ,/n./@设计;
destination ,/n./@目的地;,/n./@終點;
respiration ,/n./@呼吸;,/n./@呼吸作用;
termination ,/n./@终止;
benediction ,/n./@祝福;
revisionism ,/n./@修正主義;
testimonial ,/n./@證明書;,/n./@推薦書;,/n./@推薦信;,/n./@嘉獎;,/n./@獎品;,/n./@褒揚狀;,/n./@感謝狀;,/n./@紀念品;
exceptional ,/adj./@例外的;
precipitous ,/adj./@陡峭的;,/adj./@急躁的;,/adj./@險峻的;,/adj./@倉促的;,/adj./@倉卒的;,/adj./@急促的;,/adj./@猛衝的;,/adj./@魯莽的;,/adj./@驟然的;
prestigious ,/adj./@有名望的;,/adj./@有声望的;
pretentious ,/adj./@虛偽的;,/adj./@做作的;,/adj./@自以為是的;,/adj./@自命不凡的;,/adj./@炫耀的;,/adj./@矯飾的;
expenditure ,/n./@经费;
retribution ,/n./@报应;
benevolence ,/n./@仁慈;,/n./@善舉;,/n./@善意;,/n./@恩惠;,/n./@捐贈;
stereoscope ,/n./@體視鏡;,/n./@立體鏡;
recoverable ,/adj./@可重获的;
expectorate ,/v./@咳;,/v./@吐;,/v./@咯血;,/v./@咯;
deformation ,/n./@变形;
prerogative ,/adj./@有特權的;
restoration ,/n./@恢復;,/n./@復位;,/n./@復辟;,/n./@修復;,/n./@復原;
retroactive ,/adj./@追溯性的;
premonition ,/n./@预感;
preposition ,/n./@介词;,/n./@前置詞;
recognition ,/n./@认出;,/n./@承认;
germophobia ,/n./@潔癖;,/n./@細菌恐懼症;
theological ,/adj./@神學的;,/adj./@神學上的;
theoretical ,/adj./@理論的;
exorbitance ,/n./@過高;,/n./@過分;,/n./@過度;
resourceful ,/adj./@机智的;
speculative ,/adj./@推测出的;
permutation ,/n./@排列;,/n./@置換;
speculation ,/n./@推测;,/n./@投機;
requirement ,/n./@要求;,/n./@需要;
peculiarity ,/n./@特性;,/n./@奇怪;,/n./@怪异;,/n./@奇异;,/n./@古怪;,/n./@怪癖;,/n./@特点;,/n./@蹊跷;
penultimate ,/adj./@倒数第二的;,/n./@倒數第二;
regurgitate ,/v./@回流;,/v./@反芻;,/v./@反胃;
venturesome ,/adj./@冒險的;,/adj./@有風險的;,/adj./@危險的;
dilapidated ,/adj./@荒废的;,/adj./@破败的;
immanentize ,/vt./@内化;
incarcerate ,/v./@監禁;,/vt./@关押;,/vt./@囚禁;
infanticide ,/n./@殺嬰罪;
instantiate ,/v./@實例化;,/v./@例示;
dissipation ,/n./@损耗;,/n./@浪费;,/n./@消散;
immigration ,/n./@移民;
implication ,/n./@含义;,/n./@暗示;
inclination ,/n./@傾向;,/n./@愛好;,/n./@傾斜;,/n./@斜坡;,/n./@意向;
incarnation ,/n./@化身;
incantation ,/n./@咒语;,/n./@念咒;,/n./@咒文;
indignation ,/n./@愤慨;
inspiration ,/n./@灵感;,/n./@鼓舞;,/n./@吸气;,/n./@妙计;
instigation ,/n./@煽動;,/n./@教唆;,/n./@鼓动;
vibrational ,/adj./@顫動的;,/adj./@振動的;,/adj./@震動的;
indivisible ,/adj./@不可分割的;
insecticide ,/n./@杀虫剂;
libertarian ,/n./@自由論者;,/n./@自由主義者;
immediately ,/adv./@立即地;
millenarian ,/n./@千禧年主義者;
impermeable ,/adj./@非滲透性的;,/adj./@不可滲透的;
imperialism ,/n./@帝国主义;
interactive ,/adj./@交互式的;,/adj./@相互作用的;
investigate ,/v./@调查;
timemachine ,/n./@时光机;
infestation ,/n./@大批出沒;,/n./@侵擾;,/n./@大量滋生;,/n./@大規模侵襲;,/n./@密集滋生;
integration ,/n./@結合;,/n./@整體;
interaction ,/n./@相互作用;,/n./@互动;
inferiority ,/n./@劣勢;
impersonate ,/v./@假冒;,/v./@冒充;
intentional ,/adj./@有意的;,/adj./@故意的;
interrogate ,/v./@审问;
mischievous ,/adj./@恶意的;,/adj./@惡作劇的;,/adj./@傷害性的;,/adj./@有害的;
intercourse ,/n./@交流;,/n./@性交;,/n./@交往;,/n./@交媾;
incredulous ,/adj./@懷疑的;
disposition ,/n./@性情;,/n./@性格;,/n./@倾向;,/n./@意向;,/n./@兴趣;,/n./@布置;,/n./@部署;
information ,/n./@信息;
icosahedron ,/n./@二十面體;
incorporate ,/v./@合倂;,/v./@包含;,/v./@吸收;,/v./@體現;,/adj./@一體化的;
intoxicated ,/adj./@喝醉的;,/adj./@興奮的;,/adj./@陶醉的;
biometrical ,/redirected./@target="biometric";
incongruous ,/adj./@不一致的;,/adj./@不協調的;,/adj./@不和諧的;
illuminatus ,/n./@光照派教徒;
stimulation ,/n./@刺激;,/n./@激励;
stipulation ,/n./@約定;,/n./@規定;,/n./@明確的要求;,/n./@條款;,/n./@條文;,/n./@契約;
tribulation ,/n./@苦難;,/n./@磨難;
innumerable ,/adj./@无数的;
institution ,/n./@制度;,/n./@机构;
collaborate ,/v./@合作;,/v./@勾结;,/v./@通敌;
