radioactive ,/adj./@放射性的;
abomination ,/n./@憎恨;,/n./@憎惡;,/n./@痛恨;,/n./@厭惡;
association ,/n./@协会;
avoirdupois ,/n./@常衡;
acquisition ,/n./@获得;,/n./@获得物;,/n./@习得;,/n./@收购;
realization ,/n./@实现;
retaliation ,/n./@報復;
examination ,/n./@考试;,/n./@测验;
megalomania ,/n./@妄自尊大;,/n./@誇大狂;
ejaculation ,/n./@射精;
deteriorate ,/v./@惡化;,/v./@變壞;
memorabilia ,/n./@值得紀念的事物;,/n./@紀念品;
educational ,/adj./@教育的;
enumeration ,/n./@列舉;
equilibrium ,/n./@平衡;,/n./@均衡;
equilateral ,/adj./@等邊的;,/adj./@等面的;
equivalence ,/n./@相等;
imagination ,/n./@想象;,/n./@想象力;
inquisitive ,/adj./@好奇的;,/adj./@好問的;,/adj./@愛打聽的;
orientation ,/n./@定向;,/n./@傾向性;
qualitative ,/adj./@實質性的;,/adj./@質的;,/adj./@定性的;
unequivocal ,/adj./@毫不含糊的;,/adj./@明確的;
humiliation ,/n./@羞辱;,/n./@蒙羞;
