transgression ,/n./@罪過;,/n./@違法;,/n./@違反;,/n./@犯罪;
transcription ,/n./@抄寫;,/n./@抄本;,/n./@抄錄;,/n./@轉錄;
embarrassment ,/n./@難堪;,/n./@尷尬;,/n./@窘迫;,/n./@爲難人的事;,/n./@拮据;,/n./@窘困;
hyperactivity ,/n./@多動症;,/n./@亢奮;,/n./@過度活躍;
establishment ,/n./@确立;,/n./@制定;
replenishment ,/n./@補充;,/n./@再裝滿;,/n./@再備足;
predominantly ,/adv./@主要地;,/adv./@顯著的;
intrinsically ,/adv./@本質上地;,/adv./@內在地;,/adv./@固有地;,/adv./@自然地;,/adv./@就本身而言地;
schizophrenic ,/adj./@精神分裂症的;,/n./@精神分裂症患者;
physiotherapy ,/n./@物理療法;
contradictory ,/adj./@矛盾的;,/adj./@对立的;
psychosomatic ,/adj./@心理压力造成的;
correspondent ,/adj./@相关联的;
complementary ,/adj./@补充的;
condescending ,/adj./@謙遜的;,/adj./@屈尊的;
corresponding ,/adj./@相当的;
psychological ,/adj./@心理学的;
complimentary ,/adj./@称赞的;,/adj./@免费的;
supplementary ,/adj./@增补的;
