assertiveness ,/n./@自信;
parallelogram ,/n./@平行四邊形;
amphitheatric ,/adj./@圓形劇場的;
transliterate ,/vt./@音譯;,/vt./@直譯;,/vt./@字符轉化;,/vt./@拼寫;,/vt./@字符轉寫;,/vt./@字符轉換;
administrator ,/n./@管理者;
transactional ,/adj./@交易的;,/adj./@事務性的;
transnational ,/adj./@跨国的;
sadomasochism ,/n./@受虐狂;
appropriately ,/adj./@适当的;
approximately ,/adv./@大约;
temperamental ,/adj./@喜怒无常的;,/adj./@性情的;
entertainment ,/n./@娱乐;
extraordinary ,/adj./@特别的;,/adj./@非凡的;
deterministic ,/adj./@決定論的;
perfectionist ,/n./@完美主義者;
perfectionism ,/n./@完美主義;
reinforcement ,/n./@加强;,/n./@增援;
environmental ,/adj./@環境的;,/adj./@周圍的;
semiconductor ,/n./@半導體;
perpendicular ,/n./@垂线;
phenomenology ,/n./@現象學;,/n./@現象論;
demonstration ,/n./@示範;,/n./@展示;,/n./@示威;
demonstrative ,/adj./@指示的;,/adj./@感情外露的;,/n./@指示詞;
retrospective ,/adj./@追溯性的;
petrochemical ,/adj./@石油化學的;,/n./@石油化學製品;
stereotypical ,/adj./@刻板印象的;,/adj./@類型化的;,/adj./@模式化的;
incriminating ,/adj./@显示有罪的;
imperceptible ,/adj./@無法察覺的;,/adj./@無法感覺到的;,/adj./@極細微的;,/adj./@難以察覺的;
insensitivity ,/n./@冷漠;
inventiveness ,/n./@創造力;
indispensable ,/adj./@必不可少的;
intergalactic ,/adj./@星系際的;,/adj./@銀河際的;
discretionary ,/adj./@任意的;,/adj./@自由决定的;
righteousness ,/n./@正义;,/n./@公正;
physiological ,/adj./@生理學的;,/adj./@生理的;
introspection ,/n./@自省;,/n./@内省;
circumambient ,/adj./@周圍的;,/adj./@環繞的;
circumvallate ,/v./@用城牆圍住;
circumference ,/n./@周圍;,/n./@圓周;
distinguished ,/n./@卓越的;
misunderstood ,/v./@误解;,/v./@误会;
contraception ,/n./@避孕;,/n./@節育;
hypoglycaemia ,/n./@低血醣症;
companionship ,/n./@情誼;,/n./@友誼;,/n./@交誼;,/n./@陪伴;,/n./@伴侶關係;
comparability ,/n./@可比性;
conflagration ,/n./@大火;,/n./@大火災;
confrontation ,/n./@冲突;,/n./@对抗;,/n./@對峙;
contradiction ,/n./@矛盾;
monochromatic ,/adj./@單色的;
topographical ,/adj./@地形的;
procrastinate ,/vi./@拖延;
constellation ,/n./@星座;,/n./@星辰;,/n./@星群;,/n./@荟萃;,/n./@兴奋丛;
concentration ,/n./@專心;,/n./@聚焦;
comprehension ,/n./@理解;
comprehensive ,/adj./@综合的;,/adj./@广泛的;,/adj./@全面的;
morphogenetic ,/adj./@形態生成的;
congressional ,/adj./@会议的;,/adj./@国会的;
controversial ,/adj./@有争议的;
provincialism ,/n./@地方主義;,/n./@地方觀念;,/n./@地方風俗;,/n./@地方習氣;
sophisticated ,/adj./@复杂的;
consciousness ,/n./@知覺;
counterattack ,/v./@反擊;,/v./@反攻;
counterweight ,/n./@平衡;,/n./@平衡重;
multicultural ,/adj./@多元文化的;
bussinesslike ,/adj./@有条理的;
jurisprudence ,/n./@法律學;,/n./@法律體系;
uncomfortable ,/adj./@不舒服的;
unfortunately ,/adv./@不幸地;
