characteristic ,/n./@特徵;,/n./@特性;
transformation ,/n./@轉化;,/n./@轉變;
transportation ,/n./@运输;,/n./@运输系统;,/n./@运输工具;,/n./@流放;
hyperrealistic ,/adj./@超級寫實主義的;
electrochromic ,/adj./@電致色變的;,/adj./@電致變色的;
responsibility ,/n./@责任;
disappointedly ,/adv./@失望的;
infrastructure ,/n./@基础设施;
interpupillary ,/adj./@瞳孔间的;
hypoallergenic ,/adj./@低過敏性的;,/adj./@低過敏原的;,/adj./@不易致過敏的;
orthographical ,/redirected./@target="orthographic";
dysproteinosis ,/n./@蛋白質缺乏症;
unsatisfactory ,/adj./@不令人滿意的;
supercontinent ,/n./@超級大陸;,/n./@超大陸;
