pharmaceutical ,/adj./@制药的;,/adj./@制药学的;
classification ,/n./@分类;
administration ,/n./@管理;,/n./@行政;
craniocerebral ,/adj./@顱腦的;
claustrophobia ,/n./@幽閉恐懼症;,/n./@幽閉恐怖症;
representative ,/n./@代表;,/adj./@代表性的;,/adj./@典型的;,/adj./@代表的;,/adj./@代議制的;
representation ,/n./@代表;
sensationalism ,/n./@追求轟動效應;,/n./@官能主義;,/n./@追求轟動效應的題材;,/n./@嘩眾取寵;
representitive ,/n./@代表;
ecclesiastical ,/adj./@教會的;,/adj./@教士的;
gentrification ,/n./@中产阶级化;
recommendation ,/n./@推荐;,/n./@建议;
thermoacoustic ,/adj./@熱聲學的;
methodological ,/adj./@方法論的;
discrimination ,/n./@歧視;,/n./@辨別;,/n./@區別;
interpretative ,/adj./@解釋的;,/adj./@解釋性的;,/adj./@說明性的;
implementation ,/n./@实现;,/n./@实行;,/n./@执行;
interpretation ,/n./@翻譯;,/n./@解釋;,/n./@口譯;
impressionable ,/adj./@敏感的;,/adj./@易受影響的;
simultaneously ,/adv./@同时地;
circumvolution ,/n./@盤繞;,/n./@旋轉;
congratulation ,/n./@祝贺;
photorealistic ,/adj./@逼真的;,/adj./@照相寫實主義的;
proprioception ,/n./@本體感受;
sustainability ,/n./@可持續性;,/n./@永續性;
unrecognizable ,/adj./@無法認出的;,/adj./@未被承認的;
multiplication ,/n./@乘法;,/n./@增加;
quintessential ,/adj./@精髓的;,/adj./@精粹的;
