UK ,/abbr./@英国;
am ,/v./@是;
an ,/art./@一個;,/adj./@一個;
as ,/conj./@由于;,/prep./@如同;,/conj./@当;,/prep./@作爲;
at ,/prep./@在;,/prep./@以;
be ,/v./@是;,/prep./@在;
he ,/pron./@他;
me ,/pron./@我;
re ,/adv.//pref./表@再@次;
we ,/pron./@我们;
ex ,/adj.//pref./@之前的;,/pref./@不包括;,/pref./@除外;,/pref./@之外的;
if ,/conj./@如果;
hi ,/int./@你好;
im ,/pref./@否@定;,/pref./@相反;,/pref./@向内;,/pref./@入;
in ,/prep./@在@裏;,/prep./@在@内;
is ,/v./@是;
it ,/pron./@它;
do ,/v./@做;,/aux./@做;
of ,/prep./@關於;,/prep./@屬於;
go ,/v./@去;,/v./@走;,/v./@到;
no ,/adj./@不;
on ,/prep./在@上@方;
or ,/conj./@或者;
so ,/conj./@所以;,/adv./@如此;,/pron./@这样;
to ,/prep./@對;,/prep./@去;,/prep./@到;,/prep./@向;
ox ,/n./@牛;,/n./@公牛;
up ,/adv./@向上;,/prep./在(...)之@上;
us ,/pron./@我们;
