FBI ,/n.//abbr./@聯邦調查局;
May ,/n./@五月;
bad ,/adj./@壞的;,/adj./@不好的;
bag ,/n./@包;,/n./@袋;
ban ,/v./@禁止;
bar ,/n./@條;
bat ,/n./@蝙蝠;
bay ,/n./@港;,/n./@津;,/n./@渡口;
cab ,/n./@出租車;
cad ,/n./@無賴;
can ,/aux./@能;,/aux./@可以;
cap ,/n./@帽子;,/n./@盖@子;
car ,/n./@汽車;
act ,/v./@演;,/n./@動作;,/n./@行爲;
cat ,/n./@貓;
add ,/v./@加;,/v./@增添;,/v./@补充;
dad ,/n./@父親;
dam ,/n./@水壩;
day ,/n./@天;,/n./@日;,/n./@白天;
fan ,/n./@風扇;,/n./@追隨者;
far ,/adj./@遠@的;
fat ,/adj./@肥胖的;
fax ,/n./@傳眞;
gag ,/v./@塞住;
gab ,/v./@閑聊;,/v./@唠叨;,/v./@空談;
gap ,/n./@間隙;
gas ,/n./@氣體;
gay ,/adj./@快樂的;
had ,/v./@有;
hag ,/n./@女巫;
hap ,/n./@運氣;
has ,/v./@有@<have的第三人稱單數>;
hat ,/n./(圓簷)@帽;
hay ,/n./@干草;
jab ,/v./@戳;
jag ,/n./@缺口;,/n./@鋸齒;,/n./@狂歡;
jar ,/n./@罐;,/v./@震動;,/v./@刺激;
jaw ,/n./@颚;
all ,/adj./@所有;,/adv./@全都;
lab ,/n./@實驗室;
lad ,/n./@小夥子;
lag ,/n./@落后;
lap ,/n./@膝部;
law ,/n./@法律;
lax ,/adj./@松的;,/adj./@松懈的;
lay ,/v./@放置;,/v./@躺;
mad ,/adj./@瘋狂的;
man ,/n./@人;,/n./@男人;
map ,/n./@地圖;,/v./@籌劃;
mar ,/v./@毀壞;
mat ,/n./@席子;
may ,/aux./@能;,/adv./@可能;
and ,/conj./@和;
nag ,/v./@嘮叨;,/v./@煩擾;,/n./@老馬;
nap ,/n./@小睡;,/n./@打盹;,/n./@疏忽;
ant ,/n./@螞蟻;
any ,/adj./@任何;,/pron./@任何;
app ,/n./@應用;
pad ,/n./@便箋;,/n./@墊子;
pal ,/n./@夥伴;,/n./@朋友;
pan ,/n./@平底鍋;
apt ,/adj./@有傾向的;
pat ,/v./@輕拍;
paw ,/n./@爪;
pay ,/v./@支付;,/n./@工資;
rag ,/n./@碎布;,/n./@碎屑;,/v./@戲弄;,/v./@責罵;
ark ,/n./@約櫃;,/n./@方舟;
arm ,/n./@胳膊;,/n./@武器;
art ,/n./@藝術;
rat ,/n./@耗子;,/n./@老鼠;
raw ,/adj./@生的;
ray ,/n./@射綫;
ass ,/n./@屁股;,/n./@驢;
sad ,/adj./@悲傷的;
sag ,/adj./@松弛;,/vi./@下垂;,/vi./@萎靡;
ash ,/n./@灰塵;
ask ,/v./@問;
sap ,/n./@精力;,/n./@樹液;,/n./@元氣;,/n./@活力;
saw ,/v./@鋸;,/v./@看見;,/n./@鋸子;
say ,/v./@說;
tat ,/v./@梭織;
tab ,/n./@標簽;,/n./@制表;
tag ,/n./@標簽;,/n./@附屬物;,/v./@尾隨;
tap ,/v./@叩;,/v./@竊聽;
tar ,/n./@瀝青;,/n./@柏油;
tax ,/n./@稅;
van ,/n./@先鋒;
wag ,/v./@搖擺;
war ,/n./@戰爭;
was ,/v./@是@<is 的過去式>;
