CIA ,/n.//abbr./@中情局;
USA ,/n.//abbr./@美國;
aka ,/redirected./@target="also known as";
age ,/n./@年齡;
ape ,/n./@猨;,/v./@模仿;,/n./@模仿者;
are ,/v./@是;,/v./@有;
ave ,/n./@大街;,/n./@林蔭道;
awe ,/v./@敬畏;,/n./@敬畏;
axe ,/n./@斧子;,/n./@裁减;,/n./@斧頭;
aid ,/n./@援助;
ail ,/v./@苦惱;,/v./@生病;,/n./@病痛;
aim ,/n./@目標;
air ,/n./@空氣;
ado ,/n./@紛擾;,/n./@忙亂;,/n./@麻煩;,/n./@騷擾;
ago ,/adj./@以前;
bee ,/n./@蜜蜂;
pee ,/v./@撒尿;
ere ,/prep./在...@以前;,/aux./@毋寧;
see ,/v./@看;,/v./@看見;
eve ,/n./@前夕;,/n./@前夜;
eye ,/n./@目;
lea ,/n./@草地;
mea ,/pron./@我;
pea ,/n./@豌豆;
ear ,/n./@耳;
era ,/n./@時代;
sea ,/n./@海;,/n./@海洋;
eat ,/vt./@吃;
tea ,/n./@茶;
yea ,/adj./@是的;,/n./@贊成;
ego ,/n./@自我;
via ,/v./@經由;
ice ,/n./@冰;
die ,/v./@死;
lie ,/v./@騙;
pie ,/n./@餡餅;,/n./@派;
tie ,/v./@係;,/n./@領帶;
vie ,/v./@爭;,/v./@競爭;
ion ,/n./@離子;
loo ,/n./@廁所;
poo ,/n./@大便;,/n./@便便;
too ,/adv./@太;,/adv./@過于;,/adv./@也;
zoo ,/n./@動物園;
oak ,/n./@橡木;
oar ,/n./@槳;,/n./@櫓;
oat ,/n./@燕麥;
ode ,/n./@頌歌;,/n./@颂诗;,/n./@賦;
foe ,/n./@敵人;,/n./@反對者;
ole ,/adj./@老的;
one ,/n./@一個;,/adj./@一個;
ore ,/n./@礦石;,/n./@礦;
toe ,/n./@脚趾;
owe ,/vt./@欠;
woe ,/n./@痛苦;
oil ,/n./@油;
our ,/adj.//pron./@我們的;
out ,/adv./@外;,/adv./@向外;,/adj./在@外;
you ,/pron./@你;
cue ,/n./@提示;,/n./@綫索;,/vt./@暗示;,/n./@暗示;,/n./@提白;
due ,/adj./@到期的;,/adj./@應付的;,/adj./@預期的;,/adj./@應得的;,/n./@應付物;,/n./@應得物;
hue ,/n./@色彩;,/n./@色度;,/n./@叫聲;
sue ,/v./@控告;
use ,/v.//vt./@使用;
