Harry ,/n./@哈利;
March ,/n./@三月;
black ,/adj./@黑色的;
blast ,/v./@炸;,/v./@爆炸;
brand ,/n./@品牌;,/n./@商標;,/v./@烙;
brass ,/adj./@黃銅的;,/n./@黃銅;
brawl ,/n./@爭吵;,/n./@打架;,/vi./@斗殴;,/vi./@争吵;
bawdy ,/adj./@猥褻的;,/adj./@下流的;,/adj./@賣淫的;
abyss ,/n./@深淵;,/n./@無底洞;,/n./@深坑;,/n./@混沌;
chalk ,/n./@粉筆;
champ ,/vt./@大聲地咀嚼;,/vt./@咯咯地咬;,/vt./@咔嚓咔嚓地咀嚼;
chant ,/n./@聖歌;,/n./@贊美詩;,/v./@唱;,/v./@詠唱;
charm ,/n./@吸引;,/v./@迷惑;
chart ,/n./@圖表;,/n./@海圖;
class ,/n./@課;
clash ,/n./@衝突;,/n./@碰撞;
clasp ,/v./@緊抱;,/n./@釦子;,/vt./@紧握;
candy ,/n./@糖果;
craft ,/n./@工藝;,/n./@手藝;
crack ,/n./@裂縫;,/v./@破裂;,/vi./@爆裂;
cramp ,/v./@痙攣;
crank ,/n./@曲柄;,/n./@怪人;,/vi./@轉動曲柄;,/vt./@用曲柄轉動;
crash ,/v./@碰撞;,/v./@墜毀;
crawl ,/v./@爬;,/vi./@爬行;
carry ,/v./@搬運;,/v./@攜帶;
crazy ,/adj./@瘋狂的;
catch ,/v./@抓;,/v./@獲;
draft ,/n./@草稿;,/n./@征募;,/n./@征兵;,/n./@服役;,/n./@汇票;
drawl ,/v./@慢吞吞地說;
dwarf ,/n./@矮子;,/n./@侏儒;
flank ,/n./@側面;
flash ,/n.//v./@閃光;,/v./@反射;
flask ,/n./@燒瓶;,/n./@酒瓶;
fancy ,/n./@幻想;,/n./@迷戀;,/n./@爱慕;,/n./@想像;,/n./@想像力;,/n./@怪念頭;
frank ,/adj./@坦白的;
glass ,/n./@玻璃;,/n./@鏡子;
grand ,/adj./@宏偉的;,/adj./@極好的;,/adj./@重大的;,/n./@一千英镑;,/n./@一千美元;,/n./@大钢琴;
grant ,/v./@授予;
graph ,/n./@圖表;,/n./@曲綫圖;
grass ,/n./@草;
grasp ,/v./@抓緊;,/n./@掌握;,/n./@控制;,/n./@理解;,/vt./@抓住;,/vt./@理解;
handy ,/adj./@便利的;
happy ,/adj./@快樂的;
harsh ,/adj./@嚴厲的;
hasty ,/adj./@草率的;,/adj./@匆忙的;
hatch ,/v./@孵化;,/n./@艙門;,/n./@艙口;
latch ,/n./@门闩;,/n./@弹簧锁;,/vt./@閂上;
march ,/v./@行進;,/n./@行軍;,/n./@進軍;,/vi./@行軍;,/vi./@進軍;
match ,/v./@競賽;,/v./@相配;,/n./@火柴;,/v./@敵得過;,/n./@對手;
maths ,/n./@數學;
angry ,/adj./@生氣的;
nasty ,/adj./@肮脏的;,/adj./@下流的;
antsy ,/adj./@烦躁的;,/adj./@焦躁的;,/adj./@急躁的;,/adj./@不耐煩的;,/adj./@迫不及待的;,/adj./@坐立不安的;,/adj./@急切的;
plank ,/n./@板;,/n./@木板;,/n./@基礎;,/n./@要點;,/n./@政綱;
plant ,/n./@植物;,/v./@栽培;,/n./@工廠;
apply ,/v./@應用;,/v./@申請;
pants ,/n./@褲子;
parch ,/v./@烤;
prank ,/n./@惡作劇;
party ,/n./@派對;,/n./@黨派;
prawn ,/n./@對蝦;,/n./@明蝦;,/v./@捕蝦;
patch ,/n./@補丁;,/n./@眼罩;
patty ,/n./@肉餅;,/n./@餡餅;
rally ,/v./@團結;,/n./@集會;
ranch ,/n./@牧場;
scalp ,/n./@頭皮;,/n./@帶髮頭皮;,/n./@戰利品;,/vt./@轉手倒賣;,/vt./@剝下頭皮;,/vt./@严惩;
scarf ,/n./@圍巾;
scram ,/vi./@走開;,/vi./@滚开;
scrap ,/n./@碎片;,/n./@廢棄物;,/n./@片段;
scary ,/adj./@提心弔膽的;,/adj./@膽小的;
shack ,/n./@棚屋;
shaft ,/n./@豎井;,/n./@軸桿;,/n./@柄;,/v./@利用;,/n./@箭桿;,/n./@通風井;,/n./@升降機井;
shaky ,/adj./@搖晃的;,/adj./@顫抖的;,/adj./@不穩固的;,/adj./@發抖的;,/adj./@不可靠的;,/adj./@成問題的;
shall ,/aux./@應該;
shard ,/n./@碎片;
shark ,/n./@鲨魚;
sharp ,/adj./@鋒利的;
slack ,/adj./@鬆弛的;,/adj./@懈怠的;,/adj./@懶散的;,/adj./@蕭條的;,/adj./@遲緩的;,/adj./@呆滯的;,/adj./@平緩的;
slash ,/v./@猛砍;,/v./@鞭打;
slang ,/n./@俚語;,/vt./@谩骂;
slant ,/v./@傾斜;,/n./@傾斜;
salty ,/adj./@鹹的;
smack ,/n./@滋味;,/n./@少量;,/n./@掌掴;,/n./@猛然;,/vt./@猛拍;,/vt./@摑;
small ,/adj./@小的;
smart ,/adj./@聰明的;,/adj./@智慧的;,/adj./@時尚的;
snack ,/n./@快餐;,/n./@小吃;
snark ,/vt./@諷刺;,/vt./@嘲諷;
splay ,/v./@張開;
spasm ,/n./@痙攣;
spank ,/v./@拍擊;,/vt./@打屁股;
spark ,/n./@火星;
spray ,/n./@噴霧;,/v./@噴射;
spawn ,/n./@卵;,/v./@產卵;
stack ,/n./@堆;
staff ,/n./@員工;
stash ,/n./@藏匿處;,/vt./@貯藏;
stall ,/v./@拖延;,/n./@貨攤;,/n./@畜欄;,/n./@馬廄;,/n./@小隔间;,/n./@失速;,/n./@熄火;,/n./@车位;,/v./@熄火;,/v./@失速;
stamp ,/n./@郵票;,/n./@印花;,/n./@圖章;,/n./@印戳;,/vt./@蓋章於;,/vt./@印戳於;,/vt./@貼郵票於;,/vt./@貼印花於;
stand ,/v./@站立;,/v./@忍受;,/v./@坐落;
start ,/v./@開始;
stark ,/adj./@荒涼的;,/adj./@鲜明的;,/adj./@明顯的;,/adj./@赤裸裸的;,/adj./@僵硬的;,/adj./@严酷的;,/adj./@刻板的;
strap ,/v./@捆紥;,/n./@皮帶;
