April ,/n./@四月;
Qatar ,/n./@卡塔爾;
banal ,/adj./@平庸的;,/adj./@陳腐的;,/adj./@陳詞濫調的;,/adj./@乏味的;
canal ,/n./@運河;,/n./@渠道;
adapt ,/v./@適應;,/v./@改編;
drama ,/n./@戲劇;
fatal ,/adj./@致命的;
alpha ,/n./@α;
alarm ,/n./@警報;
altar ,/n./@聖壇;
allay ,/v./@減輕;
madam ,/n./@夫人;,/n./@太太;,/n./@女士;
magma ,/n./@岩漿;
amass ,/vt./@積聚;,/vt./@收集;
nasal ,/adj./@鼻的;,/adj./@鼻音的;
natal ,/adj./@出生的;
naval ,/adj./@海军的;
pagan ,/adj./@異教的;,/n./@異教徒;
appal ,/v./@驚嚇;,/v./@減弱;,/v./@變得蒼白;
parka ,/n./@派克大衣;,/n./@有頭套的毛皮外套;
param ,/n./@參數;
apart ,/adv./@分離;,/adj./@分離的;
radar ,/n./@雷達;
array ,/n./@數組;,/n.//vt./@排列;
salad ,/n./@色拉;,/n./@涼拌菜;
avast ,/v./@停住;
wanna ,/v./@想要;
award ,/n./@獎品;,/vt./@獎勵;
awash ,/adj./@被水覆蓋的;,/adj./@被浪潮沖打的;,/adj./@被海水沖刷的;
badge ,/n./@徽章;,/n./@標記;
bagel ,/n./@硬面包圈;
baker ,/n./@麵包師;
blade ,/n./@刃;
blame ,/v./@指責;,/v./@歸咎;,/v./@責備;
blaze ,/n./@光亮;,/n./@火光;
brace ,/n./@大括號;,/n./@支架;,/n./@牙箍;,/n./@梏具;,/vi./@俯身抱头;,/vt./@加固;,/vt./@顶住;
brake ,/n./@刹车;,/n./@制动;,/vi./@刹车;
brave ,/adj./@勇敢的;
abbey ,/n./@大修道院;,/n./@大寺院;
cable ,/n./@電纜;,/n./@電報;
cadet ,/n./@軍校學生;,/n./@候補軍官;,/n./@候補警官;,/n./@見習生;
cache ,/n./@電腦髙速緩衝存儲器;
chase ,/v./@追捕;
camel ,/n./@駱駝;
carer ,/n./@看護者;
crane ,/v./@伸長;
crate ,/n./@筐;,/n./@簍;,/n./@箱;,/n./@分隔箱;
crave ,/v./@渴望;,/v./@懇求;,/vt./@渴望獲得;,/vt./@渴望得到;,/vt./@迫切需要;
cater ,/v./@迎合;,/v./@投合;
dance ,/v./@跳舞;
adept ,/adj./@熟練的;,/n./@內行;
fable ,/n./@寓言;
facet ,/n./@琢面;,/n./@方面;
flame ,/n./@火焰;
flare ,/v./@閃耀;,/v./@閃光;,/v./@燃燒;,/n./@照明彈;,/n./@耀斑;
false ,/adj./@假@的;,/adj./@錯的;
farce ,/n./@鬧劇;,/n./@胡鬧;
frame ,/n./@框架;,/n./@結構;,/n./@構造;,/n./@幀;,/v./@設計;,/v./@陷害;,/n./@骨架;
after ,/prep./在...之@后;
glare ,/v./@瞪;
gamer ,/n./@玩家;
agent ,/n./@代理人;,/n./@特工;
grade ,/n./@年級;,/n./@等級;,/n./@評分;,/n./@成績;
grave ,/n./@墳墓;
graze ,/v./@吃草;,/v./@放牧;,/v./@刮擦;
halve ,/v./@減半;
hance ,/n./@供腰;
haste ,/n./@極速;,/n./@急忙;
haven ,/n./@避難所;,/n./@港灣;
label ,/n./@標簽;,/n./@商標;
lager ,/n./@貯藏啤酒;,/n./@窖藏啤酒;
lance ,/n./@长矛;,/n./@柳叶刀;,/v./@冲进;,/v./@急速前进;
lapel ,/n./@翻領;
lapse ,/v./@流逝;,/n./@流逝;,/n./@失誤;,/n./@間隔;
large ,/adj./@大的;
alert ,/n./@警戒;,/n./@警報;
lathe ,/n./@車床;
alter ,/v./@改變;,/vt./@更改;,/vt./@改動;
later ,/adv./@后來;,/adv./@稍後;,/adj./@更遲的;
laver ,/n./@紫菜;,/n./@水盆;
alley ,/n./@小巷;,/n./@小路;,/n./@小徑;
layer ,/n./@層;,/n./@階層;,/n./@地層;
amble ,/vi./@緩行;
amber ,/n./@琥珀;,/adj./@琥珀色的;
amend ,/v./@修訂;,/v./@賠償;
ample ,/adj./@足夠的;
matte ,/adj./@亞光的;,/adj./@暗淡的;,/adj./@無光澤的;
maybe ,/adv./@也許;
angel ,/n./@天使;
angle ,/n./@角;
ankle ,/n./@踝;
navel ,/n./@脐;,/n./@中心;
padre ,/n./@神父;
pager ,/n./@傳呼機;,/n./@傳呼器;,/n./@尋呼機;,/n./@呼機;
apple ,/n./@苹果;
place ,/n./@地點;
plane ,/n./@飛機;
plate ,/n./@盤子;,/n./@盤;,/n./@金屬板;,/n./@薄板;,/n./@印版;,/n./@金屬牌;
panel ,/n./@嵌板;,/n./@儀表盤;
paren ,/n./@括弧;,/n./@括号;
parse ,/v./@解析;
paste ,/v./@粘貼;
ramen ,/n./@拉麵;,/n./@麵條;
range ,/n./@範圍;,/n./@幅度;,/n./@排;,/n./@山脈;,/v./@平行;,/v./@延伸;,/v./@漫遊;,/v./@並列;,/v./射程@達;
sable ,/n./@紫貂;,/n./@黑貂;,/n./@貂皮;
scale ,/n./@魚鱗;,/n./@規模;,/n./@刻度;,/n./@比例;,/n./@等級;,/n./@秤;,/n./@天平;,/n./@秤盤;
scape ,/n./@花莖;,/n./@觸角根;,/n./@羽軸;,/n./@柱身;
scare ,/v./@驚嚇;
shade ,/n./@樹蔭;,/n./@陰影;,/n./@色度;,/n./@濃淡;,/n./@細微的差別;
shake ,/v./@搖;,/v./@抖;
shale ,/n./@頁岩;,/n./@泥板岩;
shame ,/n./@羞恥;
shape ,/n./@形狀;
share ,/v./@分享;,/n./@份額;
shave ,/v./@剃;,/v./@刮;,/v./@修;,/v./@削;
skate ,/n./@冰鞋;,/v./@滑冰;
askew ,/adj./@歪斜的;,/adv./@歪斜地;
slate ,/n./@石板;,/n./@板巖;
slave ,/n./@奴隸;
samen ,/n./@精液;
snake ,/n./@蛇;
space ,/n./@空間;,/n./@太空;,/v./@分隔;,/v./@間隔;
spade ,/n./@鏟子;,/n./@鐵鍬;,/n./@黑桃;
spare ,/v./@空閑;
asset ,/n./@優點;,/n./@資產;
state ,/n./@國家;,/v./@陳述;,/v./@規定;,/v./@確立;
stage ,/n./@舞臺;,/n./@階段;,/vt./@上演;,/vt./@舉行;,/vt./@發動;,/vt./@籌劃;
stake ,/n./@柱;,/n./@賭註;,/n./@樁;,/n./@火刑柱;,/n./@利害關係;,/n./@風險;
stale ,/adj./@陳舊的;
aster ,/n./@星狀體;,/n./@紫菀屬植物;
stare ,/v./@盯;
table ,/n./@桌子;,/n./@表格;
trace ,/v./@追蹤;
trade ,/n.//v./@交易;
taste ,/n./@味道;,/v./@品嘗;
valve ,/n./@閥;
avert ,/v./@防止;,/v./@避免;
whale ,/n./@鯨魚;
waste ,/v./@浪費;
water ,/n./@水;
Latin ,/n./@拉丁語;,/n./@拉丁人;,/adj./@拉丁語的;,/adj./@拉丁人的;
brain ,/n./@頭腦;
basis ,/n./@基礎;
basic ,/adj./@基礎的;,/adj./@基本的;
basin ,/n./@盆;,/n./@盆地;
cabin ,/n./@小木屋;,/n./@房舱;,/n./@座舱;
chain ,/n./@鎖鏈;,/n./@链条;,/n./@束缚;,/vt./@用链条拴住;
chair ,/n./@椅子;
claim ,/v./@聲稱;
acrid ,/adj./@辛辣的;
cavil ,/vi./@挑剔;,/vi./@吹毛求疵;
admit ,/v./@承認;,/v./@准許;
drain ,/vt./@排出;,/n./@排水;
dairy ,/n./@乳業;
flail ,/v./@打;,/v./@用連枷打;,/n./@連枷;
faint ,/n./@眩暈;
frail ,/adj./@脆弱的;
faith ,/n./@信念;
affix ,/vt./@粘上;,/vt./@署名;,/n./@詞綴;
grail ,/n./@杯;,/n./@聖杯;
grain ,/n./@穀物;,/n./@糧食;,/n./@顆粒;,/n./@穀粒;
hairy ,/adj./@多毛的;
align ,/v./@排列;
magic ,/n./@魔術;
amity ,/n./@友好關係;
maxim ,/n./@格言;,/n./@準則;,/n./@座右銘;
antic ,/adj./@滑稽可笑的;
plaid ,/n./@彩格呢;,/n./@彩格布;,/n./@格子圖案;,/n./@彩格披肩;
plain ,/adj./@原始的;,/adj./@樸素的;,/n./@平原;
plait ,/n./褶;,/v./@編織;
panic ,/n./@恐慌;
paint ,/v./@繪畫;
rabid ,/adj./@激烈的;,/adj./@狂暴的;,/adj./@偏激的;
radix ,/n./@根;,/n./@基數;
rapid ,/adj./@快速的;
slain ,/v./@殺害@<slay的過去式>;
snail ,/n./@蝸牛;
stain ,/n./@汙點;
attic ,/n./@閣樓;
tacit ,/adj./@緘默的;,/adj./@不言而喻的;,/adj./@心照不宣的;,/adj./@默許的;
trait ,/n./@特點;,/n./@特性;
trail ,/v./@追蹤;,/n./@小徑;
train ,/n./@火車;
valid ,/adj./@有效的;
vapid ,/adj./@無味的;,/adj./@乏味的;,/adj./@枯燥的;
bacon ,/n./@鹹肉;,/n./@熏肉;
abhor ,/v./@極度厭惡;
baron ,/n./@男爵;,/n./@領主;
abort ,/v./@中斷;,/v./@流產;
bravo ,/n./@喝彩;
baton ,/n./@指揮棒;,/n./@接力棒;,/n./@警棍;,/n./@司令棒;
cargo ,/n./@貨物;
carol ,/n./@頌歌;,/v./@歡樂地唱;
acorn ,/n./@橡子;,/n./@橡實;
actor ,/n./@演員;
addon ,/n./@插件;
adopt ,/v./@採用;,/v./@採納;
adorn ,/v./@裝飾;,/v./@佩戴;
favor ,/n./@贊成;,/n./@喜愛;,/n./@好感;
agony ,/n./@痛苦;
havoc ,/n./@浩劫;,/n./@破坏;,/n./@毁坏;,/n./@混乱;
labor ,/n./@勞動;
aloft ,/adv./@在空中;
along ,/adv./@一起;,/prep./@沿著;
lasso ,/n./@套索;,/v./@拉攏;,/v./@套捕;
allot ,/v./@分配;,/v./@指定;
allow ,/v./@允許;
alloy ,/n./@合金;
macho ,/adj./@大男子氣概的;
major ,/adj./@主要的;
among ,/prep./在...@之間;
mango ,/n./@芒果;
annoy ,/v./@惹惱;,/v./@(使)煩惱;
apron ,/n./@圍裙;,/n./@工作裙;
ardor ,/n./@狂熱;
argot ,/n./@隱語;
armor ,/n./@裝甲;
arson ,/n./@縱火;,/n./@縱火罪;
razor ,/n./@刮鬍刀;,/n./@剃刀;,/n./@剃鬚刀;
salon ,/n./@沙龍;,/n./@客廳;,/n./@畫廊;
salvo ,/n./@齊射;,/n./@一陣;
savor ,/n./@滋味;,/n./@氣味;,/n./@食欲;,/v./@品嘗;
tarot ,/n./@塔罗牌;
valor ,/n./@英勇;,/n./@勇猛;
wagon ,/n./@貨車;
Bantu ,/n./@班圖人;,/n./@班圖語;
caulk ,/vt./@填隙;,/vt./@捻縫;,/n./@填隙物;
adult ,/n./@成年人;
daunt ,/v./@驚嚇;,/vt./@嚇倒;
datum ,/n./@數據;
fault ,/n./@錯誤;,/n./@過錯;
fraud ,/n./@欺詐;
gamut ,/n./@全音階;,/n./@整個範圍;,/n./@全範圍;,/n./@全部;,/n./@音域;
gaunt ,/adj./@憔悴的;,/adj./@荒凉的;,/adj./@枯瘦的;
haunt ,/v./@縈繞;,/v./@作祟;
kraut ,/n./@酸泡菜;,/n./@德國人;
album ,/n./@專輯;,/n./@相簿;,/n./@集郵簿;,/n./@紀念冊;
laugh ,/v./@笑;
annul ,/v./@宣告無效;
snafu ,/n./@混亂;,/v./@混亂;
taunt ,/v./@嘲笑;
vault ,/n./@貯藏室;
awful ,/adj./@可怕的;,/adj./@可觀的;
bleed ,/v./@流血;
breed ,/v./@繁殖;,/v./@飼養;,/n./@品種;
cheek ,/n./@臉頰;
cheer ,/v./@振作;
creed ,/n./@信條;,/n./@教義;
creek ,/n./@小溪;,/n./@小灣;
creep ,/v./@爬;
defer ,/v./@拖延;
delve ,/v./@挖;,/v./@钻研;,/v./@探究;
dense ,/adj./@密集的;,/adj./@稠密的;
deter ,/v./@制止;
dweeb ,/n./@愚昧;,/n./@白癡;
fleet ,/n./@艦隊;,/n./@船隊;
femme ,/n./@妻子;,/n./@婦女;,/adj./@嬌柔的;
fence ,/n./@柵欄;,/n./@圍欄;,/n./@籬笆;
fever ,/n./@发燒;
genre ,/n./@類型;,/n./@流派;,/n./@体裁;
greed ,/n./@貪婪;,/n./@貪心;
green ,/n./@綠色;,/adj./@綠色的;
hedge ,/n./@樹籬;,/n./@籬笆;,/n./@障礙;
hence ,/adv./@因此;
eject ,/v./@噴射;
jewel ,/n./@珠寶;,/n./@寶石;
kneel ,/vi./@跪;
leech ,/n./@水蛭;
elect ,/v./@選舉;
ledge ,/n./@壁架;,/n./@岩架;,/n./@暗礁;,/n./@礦脈;
lemme ,/abbr./@讓我;
leper ,/n./@麻风病人;
leery ,/adj./@机敏的;,/adj./@狡猾的;,/adj./@猜疑的;
level ,/n./@水平;,/n./@級別;
lever ,/n./@槓桿;
elves ,/n./<elf的復數>@精靈;
lycee ,/n./@國立高等學校;
embed ,/v./@嵌入;,/v./@插入;,/v./@栽种;
ember ,/n./@餘火;,/n./@餘燼;
emend ,/vt./@校訂;
merge ,/v./@結合;
meter ,/n./@量器;,/n./@儀表;
metre ,/n./@米;
needy ,/adj./@贫穷的;,/n./@穷人;
enemy ,/n./@敵人;
nerve ,/n./@神經;,/n./@膽量;
enter ,/v./@進入;
never ,/adv./@從來不;,/adv./@從不會;
pedes ,/n./@足;
pence ,/redirected./@target="penny";
rebel ,/n./@反叛;
erect ,/adj./@竪直的;
refer ,/v./@參考;
repel ,/v./@抵制;,/v./@擊退;,/v./@排斥;,/v./@驅離;
revel ,/v./@狂歡;,/n./@狂歡;
scene ,/n./@場面;,/n./@場景;,/n./@事件;
sheep ,/n./@綿羊;
sheer ,/adj./@陡峭的;,/adj./@全然的;,/adj./@完全的;,/adj./@純粹的;,/adj./@極薄的;
sheet ,/n./@紙張;
sleep ,/v.//n./@睡覺;
semen ,/n./@精液;
sense ,/n./@感覺;,/n./@道理;,/n./@理智;
sneer ,/v./@嘲笑;,/v./@冷笑;,/vt./@譏諷;
speed ,/n./@速度;
spree ,/n./@狂歡;
serve ,/v./@服務;,/v./@服役;,/v./@任職;
steep ,/adj./@陡峭的;,/adj./@急劇的;,/vt./@浸泡;,/vt./@浸透;
steer ,/v./@駕駛;,/v./@操舵;
seven ,/n./@七;
sever ,/v./@割斷;,/v./@分開;,/vt./@斷絕;,/vt./@中斷;,/vt./@切斷;
sweep ,/v./@掃;,/v./@席捲;
sweet ,/adj./@甜的;
teeth ,/n./@牙齒;
theme ,/n./@主題;
ether ,/n./@乙醚;,/n./@以太;,/n./@醚;,/n./@蒼穹;
there ,/pron./@那里;
three ,/adj./@三個;
these ,/pron./@這些;
tense ,/adj./@緊張的;,/n./@時態;
terse ,/adj./@簡潔的;,/adj./@精練的;,/adj./@简短的;,/adj./@簡練的;
event ,/n./@事件;
verge ,/vt./@瀕臨;,/n./@邊緣;
verse ,/n./@詩篇;
every ,/adj./@每@一;
wedge ,/v./@楔入;,/n./@楔子;
wheel ,/n./@車輪;,/v./@轉動;
where ,/wh.//pron./@哪里;
excel ,/v./@超過;,/v./@擅長;
expel ,/v./@驅逐;
exert ,/v./@发揮;,/vt./@竭盡;,/vt./@施加;,/vt./@運用;,/vt./@行使;
beach ,/n./@海灘;
bleak ,/adj./@陰冷的;,/adj./@荒涼的;
beard ,/n./@胡須;
bread ,/n./@麵包;,/n./@生計;
break ,/v./@破壞;
beast ,/n./@野獸;,/n./@牲畜;
cheap ,/adj./@便宜的;
cheat ,/v./@欺騙;,/v./@作弊;
clean ,/adj./@干凈的;
clear ,/v./@清理;
creak ,/v./@咯吱咯吱響;,/n./@咯吱咯吱聲;
cream ,/n./@奶油;
decay ,/v./@腐敗;
