Balkan ,/adj./@巴爾幹半島的;
ballad ,/n./@歌謠;,/n./@民謠;,/n./@敘事歌謠;
basalt ,/n./@玄武岩;
chalan ,/n./@收據;,/n./@发票;,/n./@通行證;
canvas ,/n./@帆布;,/n./@油畫布;,/n./@油畫;,/n./@風帆;,/n./@帳篷;,/adj./@帆布製的;,/vt./@用帆布覆蓋;
carnal ,/adj./@肉體的;,/adj./@肉慾的;,/adj./@淫蕩的;,/adj./@性慾的;
cravat ,/n./@領帶;,/n./@領巾;
harass ,/v./@騷擾;,/v./@煩擾;
hazard ,/n./@危险;,/n./@隐患;,/n./@风险;,/n./@障碍物;
always ,/adv./@總是;
mammal ,/n./@哺乳動物;
mayday ,/n./@求救信號;
anyway ,/adv./@不管怎樣;
appall ,/v./@驚嚇;
plasma ,/n./@血漿;,/n./@等离子体;,/n./@電漿;
parlay ,/v./(使)@增値;
apathy ,/n./@冷漠;
rascal ,/n./@流氓;,/n./@惡棍;,/n./@無賴;
shaman ,/n./@萨满;,/n./@黃教僧;,/n./@黃教巫醫;
aslant ,/adj./@歪的;
salary ,/n./@薪水;,/vt./@加薪;
sandal ,/n./@凉鞋;
astray ,/adj./@迷失的;,/adj./@误入歧途的;,/adv./@迷路地;,/adv./@误入歧途地;,/adv./@遗失;
attach ,/v./@附加;,/v./@係;
attack ,/vt./@攻擊;
vacant ,/adj./@空的;,/adj./@空缺的;,/adj./@未佔用的;
vandal ,/n./@破壞文化藝術者;
Cancer ,/n./@巨蟹座;,/n./@巨蟹宫;,/n./@北回歸線;
Naples ,/n./@那不勒斯;
baffle ,/vt./@困擾;,/vt./@阻撓;,/vt./@難住;,/vt./@難倒;
abject ,/adj./@卑鄙的;,/adj./@可憐的;,/adj./@不幸的;
babble ,/v./@喋喋不休;,/v./@含糊不清地說;
ballet ,/n./@芭蕾舞;
banner ,/n./@旗幟;,/n./@橫幅;,/n./@標語;
banter ,/v./@戲虐;,/n./@打趣;,/vi./@談笑;,/vt./@取笑;
barrel ,/n./@桶;,/n./@管;,/n./@槍管;,/n./@砲筒;,/n./@大桶;,/n./@一桶的量;,/n./@36加侖的量;
barley ,/n./@大麥;
barren ,/adj./@不育的;,/adj./@貧瘠的;
barter ,/n./@易貨貿易;
basket ,/n./@籃;
absent ,/adj./@缺席的;,/adj./@缺少的;
battle ,/n./@戰爭;
batter ,/vt./@重击;,/vt./@殴打;,/vi./@猛击;
chance ,/n./@機會;
change ,/v./@改變;
chapel ,/n./@小教堂;
charge ,/v./@收費;,/v./@充電;
chaste ,/adj./@純潔的;,/adj./@貞潔的;,/adj./@有道德的;,/adj./@樸素的;
cackle ,/v./@饒舌;,/v./@喋喋不休;
claver ,/n./@閑話;
cancel ,/v./@取消;
cancer ,/n./@癌症;
accent ,/v./@重讀;,/n./@口音;,/v./@強調;
accept ,/v./@接受;
cradle ,/n./@搖籃;,/n./@发源地;,/n./@托架;,/n./@支架;
carpet ,/n./@地毯;
caress ,/v./@愛撫;,/v./@撫摸;,/v./@擁抱;,/v./@接吻;
crater ,/n./@坑;,/n./@彈坑;,/n./@火山口;,/n./@隕石坑;
access ,/v./@使用;,/v./@接近;,/v./@進入;
casket ,/n./@小箱;,/n./@小盒;,/n./@骨灰盒;,/n./@棺材;
castle ,/n./@城堡;
cattle ,/n./@牛;
cavern ,/n./@洞穴;,/v./@挖空;
danger ,/n./@危險;
darken ,/v./@使變暗;
drawer ,/n./@抽匣;
adverb ,/n./@副詞;
advert ,/v./@引起註意;
dazzle ,/v./@耀眼;
affect ,/v./@影響;
falter ,/v./@支吾;
fasten ,/v./@係牢;
father ,/n./@父親;
gadget ,/n./@小玩意;
glance ,/v./@掃視;,/v./@瞥;
gamble ,/v./@賭博;
agency ,/n./@代理;
garden ,/n./@花園;
garner ,/v./@獲得;,/v./@儲存;,/vt./@收藏;
garret ,/n./@閣樓;
gravel ,/n./@砂礫;
haggle ,/n./@爭論;,/n./@討價還價;,/vi./@爭論;,/vi./@討價還價;
hamlet ,/n./@小村莊;
hammer ,/n./@錘子;,/v./@錘擊;
handle ,/n./@把手;,/v./@處理;,/v./@操作;
happen ,/v./@发生;
hassle ,/n./@麻煩;,/n./@困難;,/v./@爭辯;
hasten ,/v./@加速;
hatred ,/n./@仇恨;
jagger ,/n./@鑿子;,/n./@鋸齒;
kraken ,/n./@海怪;
lackey ,/n./@男僕;,/n./@侍從;,/n./@馬屁精;
ladder ,/n./@梯子;
latter ,/adj./@后面的;,/adj./@后者的;
lately ,/adj./@近來;
lawyer ,/n./@律師;
mangle ,/vt./@損毀;,/vt./@毀壞;,/vt./@壓碎;,/vt./@撕毀;
manger ,/n./@食槽;,/n./@秣槽;
manner ,/n./@方式;,/n./@習慣;
mantle ,/v./@覆蓋;,/n./@斗篷;
marker ,/n./@標志;
market ,/n./@市場;,/n./@銷路;
marvel ,/v./(對...感到)@驚訝;,/v./@欽佩;
master ,/n./@主人;
matter ,/n./@問題;,/n./@事情;
namely ,/adv./@即;,/adv./@也就是;
answer ,/v.//n./@回答;
anthem ,/n./@頌歌;,/n./@聖歌;,/n./@贊美詩;,/n./@贊美歌;
antler ,/n./@鹿角;,/n./@茸角;,/n./@多叉鹿角;
packet ,/n./@小包;,/n./@小盒;
paddle ,/v./@劃槳;,/n./@槳;,/v./@攪;,/vi./@涉水;,/vi./@蹼游;
phrase ,/n./@短語;
planet ,/n./@星球;,/n./@行星;
append ,/v./@附加;
pander ,/vi./@迎合;,/vi./@拉皮條;,/n./@皮條客;,/n./@老鴇;
parcel ,/v./@分配;,/n./@包裹;
parley ,/v./@談判;,/v./@會談;
prance ,/v./@騰躍;
parent ,/n./@父母;
pastel ,/n./@粉蠟筆;
patent ,/n./@專利;,/adj./@明顯的;
patter ,/n./@行話;,/n./@連珠砲似的話;,/n./@饒舌;,/n./@喋喋不休;,/n./@啪嗒聲;,/vi./@啪嗒啪嗒地響;,/vi./@啪嗒啪嗒地走;,/vi./@啪嗒啪嗒地拍打;
archer ,/n./@弓箭手;
racket ,/n./@喧鬧;
ardent ,/adj./@熱情的;,/adj./@熱心的;,/adj./@激烈的;,/adj./@熱烈的;
raffle ,/v./@抽彩售貨;
rafter ,/n./@椽;,/n./@椽子;
rarely ,/adj./@不經常的;
ramble ,/v./@漫步;,/n./@漫步;
ramjet ,/n./@沖壓式噴氣引擎;,/n./@沖壓式噴氣發動機;,/n./@噴射推進引擎;
ranger ,/n./@巡邏員;
rappel ,/v./@援繩下降;,/v./@援繩而下;
arrest ,/v./@逮捕;
raster ,/n./@光柵;
rather ,/adv./@相當;,/adv./@寧願;,/adv./@更;
rattle ,/n./@拨浪鼓;,/n./@响板;,/n./@角质环;,/vi./@乒乓响;
artery ,/n./@動脈;,/n./@幹線;,/n./@要道;
assess ,/v./@評估;
ascend ,/v./@上升;,/v./@攀升;
ascent ,/n./@上升;
scarce ,/adj./@缺乏的;
sacred ,/adj./@神聖的;
scrape ,/v./@刮擦;,/vt./@擦傷;,/vt./@刮破;
scathe ,/v./@損傷;,/v./@損害;,/n./@損傷;,/n./@損害;
saddle ,/n./@馬鞍;,/n./@車座;,/n./@鞍狀山脊;,/n./@山鞍;,/n./@脊肉;
safety ,/n./@安全;
shaver ,/n./@剃須刀;
sample ,/n./@樣品;
assent ,/v./@贊成;
aspect ,/n./@方面;
sparse ,/adj./@稀疏的;,/adj./@稀少的;
assert ,/v./@斷言;,/v./@堅持;
stable ,/adj./@穩定的;
stance ,/n./@立場;,/n./@姿態;,/n./@位置;
staple ,/adj./@主要的;,/n./@主食;,/n./@订书钉;,/n./@主要内容;,/vt./@用订书机订;,/n./@U形钉;
astern ,/adv./@向船尾;,/adv./@在船尾;,/adv./@向後;,/adv./@在後面;
starve ,/v./@挨餓;
swathe ,/n./@帶子;,/v./@綁;
tablet ,/n./@平板電腦;,/n./@药片;,/n./@碑;,/n./@写字板;
tackle ,/v./@應付;,/v./@阻截;,/n./@轆轤;
talent ,/n./@天賦;
tamper ,/v./@篡改;
attend ,/v./@出席;,/v./@照料;,/v./@陪伴;
tandem ,/n./@串联;,/n./@串座双人自行车;
tangle ,/v./@糾纏;
target ,/n./@目標;,/n./@靶子;
trance ,/n./@怳惚;,/n./@恍惚;,/n./@出神;,/n./@入定;
travel ,/n./@旅行;
attest ,/vt./@证实;,/vt./@作证;,/vi./@证明;
tavern ,/n./@酒館;,/n./@客棧;
valley ,/n./@山谷;,/n./@河谷;,/n./@溪谷;
waffle ,/n./@華夫;,/v./@胡扯;,/v./@閒聊;
wallet ,/n./@錢包;
wander ,/vi./@游荡;,/vi./@闲逛;,/vt./@游荡;,/n./@闲逛;,/vi./@漫步;,/vi./@游离;,/vi./@走神;,/vi./@离题;,/vi./@走散;,/vi./@蜿蜒;,/vi./@乱摸;
warden ,/n./@管理員;,/n./@主管;,/n./@長官;
yatter ,/v./@閑扯;,/v./@瞎聊;
Slavic ,/redirected./@target="Slavonic";
bandit ,/n./@盜賊;,/n./@强盜;,/n./@土匪;,/n./@匪徒;,/n./@盜匪;
banish ,/v./@放逐;,/v./@驅逐;,/vt./@驅除;
caliph ,/n./@哈里发@(穆斯林国家的统治者);
candid ,/adj./@坦白的;,/adj./@直率的;
cavity ,/n./@洞穴;,/n./@腔;,/n./@龋洞;,/n./@孔;
addict ,/v./@沉溺;
danish ,/adj./@丹麥的;,/n./@丹麥面包;
adrift ,/adj./@漂浮著的;,/adj./@漂流著的;,/adv./@漂浮著;,/adv./@漂流著;
fabric ,/n./@織物;,/n./@結構;,/n./@組織;
family ,/n./@家庭;
affirm ,/v./@斷定;,/vt./@申明;,/vt./@確認;,/vt./@證實;
gambit ,/n./@險招;,/n./@開局讓棋法;,/n./@開局;,/n./@話題;,/n./@開始;,/n./@開場白;
garlic ,/n./@大蒜;
haptic ,/adj./@觸覺的;
alight ,/adj./@燒著的;
lavish ,/adj./@浪費的;,/adj./@豐富的;,/adj./@大方的;,/v./@浪費;,/v./@濫用;,/v./@慷慨給予;
malign ,/v./@誹謗;,/v./@污衊;,/v./@中傷;
margin ,/n./@邊;,/n./@差額;,/n./@余地;,/n./@頁面空白;
napkin ,/n./@餐巾;,/n./@餐巾紙;
pacify ,/vt./@使平靜;
parity ,/n./@同等;,/n./@相等;,/n./@平價;
papist ,/n./@天主教徒;
rabbit ,/n./@兔子;
ratify ,/v./@批准;,/v./@認可;
artist ,/n./@藝術家;
assign ,/v./@分配;
sprain ,/vt./@扭伤;,/n./@扭伤;
assist ,/v./@協助;
static ,/adj./@靜態的;
strain ,/v./@抑制;
tactic ,/n./@策略;,/n./@戰略;
tariff ,/n./@关税;,/n./@收费表;,/n./@价目表;,/n./@资费表;
tragic ,/adj./@悲慘的;,/adj./@悲劇的;,/adj./@悲劇性的;,/adj./@不幸的;
vainly ,/adv./@徒勞地;
vanish ,/v./@消失;
vanity ,/n./@虛榮心;,/n./@空虛;,/n./@浮華;
ballot ,/v./@投票;,/n./@投票;
blazon ,/v./@宣佈;,/v./@裝飾;
baryon ,/n./@重子;
absorb ,/v./@吸收;,/v./@理解;
cannon ,/n./@大炮;,/n./@加農炮;
canopy ,/n./@天篷;,/n./@遮篷;,/n./@華蓋;,/v./@遮蓋;
cannot ,/v./@不能;
canyon ,/n./@峽谷;
carbon ,/n./@碳;
accord ,/v./@符合;,/v./@一致;,/v./@根据;,/n./@协议;
carrot ,/n./@胡蘿蔔;
carton ,/n./@紙箱;
craton ,/n./@克拉通;
dragon ,/n./@龍;
dynamo ,/n./@发电机;
factor ,/n./@因素;
faggot ,/n./@柴把;,/v./@同性戀;
falcon ,/n./@獵鷹;,/n./@隼;
flavor ,/n./@滋味;,/n./@風趣;
fandom ,/n./@影迷;
fathom ,/n./@英尋;,/n./@噚;,/vt./@測量...的深度;,/vt./@揣摸;,/vt./@推測;,/vt./@領會;
gallon ,/n./@加侖;,/n./@1/8蒲式耳的量;,/n./@4夸脫的量;,/n./@8品脫的量;,/n./@32基爾的量;,/n./@1/36桶的量;,/n./@128液盎司的量;
gallop ,/v./@疾馳;
hadron ,/n./@强子;
hallow ,/n./@神聖;,/v./@神化;,/n./@聖徒;,/n./@聖器;
harlot ,/n./@娼妓;
harrow ,/n./@耙;,/vt./@耙;,/vt./@煩擾;,/vt./@折磨;
jargon ,/n./@行話;,/n./@黑話;,/n./@粗俗的言語;,/n./@混雜語;
almost ,/adv./@幾乎;
lapdog ,/n./@走狗;
laptop ,/n./@筆記本;
maggot ,/n./@蛆;,/n./@怪念頭;
mallow ,/n./@錦葵;
marrow ,/n./@髓;,/n./@骨髓;,/n./@精華;,/n./@活力;
mascot ,/n./@吉祥物;
anchor ,/n./@錨;,/v./@固定;
narrow ,/adj./@窄的;
anyhow ,/adv./@無論如何;
pardon ,/v./@寬恕;
parlor ,/n./@客廳;
parrot ,/n./@鸚鵡;
patrol ,/n./@巡邏;,/n./@巡邏隊;,/n./@偵察隊;,/vi./@巡逻;
patron ,/n./@贊助人;,/n./@主顧;
payoff ,/n./@贿赂;,/n./@遣散金;,/n./@收益;,/n./@回报;,/n./@结果;
random ,/adj./@隨機的;,/adj./@任意的;
raptor ,/n./@肉食鸟;,/n./@猛禽;,/n./@猛龙;
shadow ,/n./@影子;
sallow ,/adj./@灰黃的;
tampon ,/n./@棉塞;,/n./@棉條;
backup ,/n./@備份;
abduct ,/v./@綁架;
ablush ,/adj./@臉紅的;
abrupt ,/adj./@突然;
absurd ,/adj./@荒謬的;,/adj./@荒唐的;
campus ,/n./@校園;
adjust ,/v./@調整;
flaunt ,/vt./@炫耀;
launch ,/v./@发射;,/v./@发起;
lawful ,/adj./@合法的;,/adj./@法律的;
pablum ,/n./@嬰兒麥片;
artful ,/adj./@狡猾的;,/adj./@巧妙的;
saturn ,/n./@農神;,/n./@土星;
asylum ,/n./@庇護;
behest ,/n./@命令;,/n./@指示;
better ,/adj./@更好的;
cheeky ,/adj./@放肆的;
celery ,/n./@芹菜;
clever ,/adj./@聰明的;
cement ,/n./@水泥;
center ,/n./@中心;,/v./@集中;
centre ,/n./@中心;
creepy ,/adj./@令人毛骨悚然的;
decent ,/adj./@正派的;
defect ,/n./@缺陷;
defend ,/v./@保衛;,/v./@防守;
deject ,/vt./@使沮喪;,/vt./@使消沉;
dement ,/adj./@癡呆的;,/n./@癡呆;
deeply ,/adv./@深深地;,/adv./@深切的;
depend ,/v./@依靠;
desert ,/n./@沙漠;,/n./@荒原;,/v./@遺棄;,/v./@離棄;,/v./@抛棄;,/v./@放棄;,/v./@擅離;,/v./@逃跑;,/v./@逃亡;,/n./@賞罰;,/n./@功德;,/n./@功勞;,/adj./@荒蕪的;
detect ,/v./@察覺;
dexter ,/adj./@右侧的;
effect ,/n./@影響;,/n./@效果;,/n./@作用;
fledge ,/n./@羽毛;,/v./@長羽毛;
fetter ,/v./@束縛;,/v./@加脚鐐;,/n./@束縛;,/n./@脚鐐;,/n./@羈絆;
gender ,/n./@性;
gentle ,/adj./@輕柔的;
greedy ,/adj./@貪婪的;
heckle ,/v./@詰問;
hereby ,/adv./@以此;
heresy ,/n./@異端;,/n./@邪教;
kennel ,/n./@狗屋;
kernel ,/n./@核;,/n./@核心;
kettle ,/n./@水壺;
legend ,/n./@傳奇;,/n./@傳說;
letter ,/n./@字母;,/n./@信件;
emblem ,/n./@象征;,/n./@标志;,/n./@徽章;,/n./@标记;
member ,/n./@成員;,/n./@會員;
meddle ,/v./@干預;,/v./@管閑事;,/vi./@干涉;
merely ,/adv./@僅;
nephew ,/n./@侄子;,/n./@外甥;
energy ,/n./@能量;
nestle ,/v./@安頓;,/v./@建巢;
enzyme ,/n./@酶;
pebble ,/n./@卵石;
peddle ,/vt./@兜售;,/vt./@宣传;,/vt./@非法贩卖;,/vt./@散播;
pledge ,/v./@保證;,/v./@发誓;
pepper ,/n./@胡椒;
pestle ,/n./@杵;,/vt./@搗;,/vt./@研碎;,/n./@碾槌;
recent ,/adj./@最近的;
recess ,/n./@休庭;,/n./@壁龛;,/n./@凹处;,/n./@暂停;,/n./@洞;
regent ,/n./@攝政王;,/n./@統治者;
regret ,/v./@後悔;
reject ,/v./@拒絕;
relent ,/v./@變溫和;
remedy ,/n./@治療;,/n./@補救;
render ,/vt./@使得;,/v./@給予;
repent ,/v./@懺悔;,/v./@悔悟;,/v./@悔改;,/v./@後悔;,/v./@懊悔;
resent ,/vt./@怨恨;,/v./@忿恨;
revert ,/v./@囬復;,/v./@重提;
revery ,/n./@空想;
scheme ,/n./@方案;,/n./@計劃;
screen ,/n./@屏幕;,/n./@屏;,/v./@篩選;,/v./@甄別;,/n./@掩蔽物;,/n./@紗窗;
secret ,/n./@秘密;
skewed ,/adj./@歪的;
select ,/v./@挑選;,/v./@选择;
sledge ,/n./@雪橇;,/n./@大錘;
sleepy ,/adj./@欲睡的;,/adj./@困乏的;
seemly ,/adj./@適當的;
semper ,/adv./@永遠;
speech ,/n./@演說;,/n./@語音;,/n./@講話;
sphere ,/n./@球體;,/n./@範圍;,/n./@領域;,/v./@包圍;
settle ,/v./@解決;,/v./@定居;,/v./@安排;
street ,/n./@街道;
tether ,/n./@拴繩;,/n./@係鏈;
temple ,/n./@神殿;,/n./@寺廟;,/n./@太陽穴;
temper ,/n./@脾氣;,/n./@回火;
tender ,/adj./@溫柔的;
twelve ,/n./@十二;
velvet ,/n./@天鵝絨;
vender ,/n./@商販;
evenly ,/adv./@均勻地;,/adj./@平均地;
vertex ,/n./@頂點;
vessel ,/n./@船;,/n./@艦;,/n./@血管;,/n./@容器;
except ,/v./@除了;
excess ,/n./@過度;,/n./@過量;,/n./@超過;,/adj./@額外的;
exempt ,/vt./@免除;
expect ,/v./@期望;,/v./@預料;
expert ,/n./@專家;
extent ,/n./@程度;
extend ,/v./@擴充;,/v./@延展;
extern ,/adj./@外部的;
bleach ,/v./@漂白;
breach ,/n./@違反;,/n./@違背;,/n./@缺口;,/vt./@違反;,/vt./@破壞;,/vt./@打破;
breast ,/n./@乳房;,/n./@胸部;
breath ,/v./@呼吸;
betray ,/v./@背叛;,/v./@出賣;
demand ,/v./@命令;
depart ,/v./@離開;,/v./@出发;
dreary ,/adj./@沉悶的;,/adj./@沉鬱的;,/adj./@凄涼的;,/adj./@枯燥的;,/adj./@乏味的;
detach ,/v./@分離;,/v./@拆卸;
fealty ,/n./@忠誠;
greasy ,/adj./@油膩的;
health ,/n./@健康;
