Utopia ,/n./@烏托邦;
aerate ,/vt./@使通氣;,/vt./@使透氣;,/vt./@充氣於;
aerial ,/adj./@空中的;,/adj./@航空的;,/adj./@天空的;,/adj./@空氣的;,/n./@天綫;
avenue ,/n./@大街;
apiece ,/adv./@每個;,/adv./@每人;,/adv./@每樣;,/adv./@各個;
aviate ,/v./@飛行;
amoeba ,/n./@阿米巴;,/n./@变形虫;
arouse ,/v./@喚醒;,/v./@喚起;,/v./@激發;,/v./@引起;,/v./@鼓勵;
nausea ,/n./@噁心;,/n./@暈船;,/n./@厭惡;
easier ,/adj./@更容易;
league ,/n./@同盟;,/n./@協會;
equate ,/v./@等同;
equine ,/adj./@马的;
milieu ,/n./@環境;
goatee ,/n./@山羊胡子;
opaque ,/adj./@不透明的;,/adj./@不透光的;,/adj./@難理解的;,/n./@不透明體;
opiate ,/adj./@含鴉片的;,/adj./@麻醉的;,/n./@麻醉劑;
cookie ,/n./@曲奇;,/n./@餅干;
coolie ,/n./@苦力;
odious ,/adj./@可憎的;
bureau ,/n./@局;,/n./@司;,/n./@辦公室;
unique ,/adj./@獨一無二的;
utopia ,/n./@烏托邦;
