Illyria ,/n./@伊利里亞;
October ,/n./@十月;
Cabbala ,/redirected./@target="Kabbalah";
Catalan ,/adj./@加泰羅尼亞的;,/n./@加泰羅尼亞人;,/n./@加泰羅尼亞語;,/adj./@加泰羅尼亞人的;,/adj./@加泰羅尼亞語的;
Kabbala ,/redirected./@target="Kabbalah";
Qabalah ,/redirected./@target="Kabbalah";
baklava ,/n./@蜜糖果仁千层酥;,/n./@果仁蜜饼;
caracal ,/n./@獰貓;,/n./@野貓;
caravan ,/n./@房车;,/n./@大篷车;,/n./@车队;,/n./@旅行队;
adamant ,/adj./@固執的;,/adj./@堅定的;,/adj./@堅決的;
faraway ,/adj./@很遠的;
baggage ,/n./@行李;
balance ,/n./@平衡;
barrage ,/n./@彈幕;,/n./@火力網;
abreast ,/adv./@並排;,/adv./@並列;,/adv./@並肩;
absence ,/n./@缺席;
cabbage ,/n./@捲心菜;,/n./@圓白菜;
academy ,/n./@學院;
cadaver ,/n./@屍體;,/n./@死屍;,/n./@屍首;
capable ,/adj./@潛在的;,/adj./@可能的;
capella ,/n./@教堂;
caramel ,/n./@焦糖;,/n./@飴糖;
carnage ,/n./@屠殺;
carcase ,/redirected./@target="carcass";
accrete ,/v./@逐漸增長;
cascade ,/n./@瀑布;,/v./@傾瀉;,/n./@層疊;
dataset ,/n./@数据集;,/n./@资料集;,/n./@资料组;
advance ,/v./@发展;,/v./@前進;,/v./@提前;
adverse ,/adj./@逆向的;,/adj./@相反的;,/adj./@不利的;,/adj./@反對的;,/adj./@敵對的;,/adj./@反面的;,/adj./@有害的;,/adj./@逆的;
affable ,/adj./@和藹的;
fanfare ,/n./@號角齊鳴;
garbage ,/n./@垃圾;,/n./@廢物;,/n./@廢話;
gazelle ,/n./@瞪羚;
algebra ,/n./@代數學;
already ,/adv./@已經;
lateral ,/adj./@橫向的;,/adj./@側向的;,/adj./@侧面的;
machete ,/n./@大砍刀;
magenta ,/adj./@洋紅;,/n./@洋紅色;
magnate ,/n./@巨頭;,/n./@要人;,/n./@富豪;,/n./@大資本家;
malware ,/n./@惡意軟件;
mandate ,/v./@授權;,/n./@授權;
manager ,/n./@经理;,/n./@管理者;,/n./@管理员;
massage ,/n./@按摩;
analyse ,/v./@分析;
analyze ,/v./@分析;
antenna ,/n./@觸角;,/n./@天線;
package ,/n./@包裹;,/n./@包;
pageant ,/n./@露天歷史劇;,/n./@慶典;,/n./@盛裝遊行;,/n./@紛繁的場景;,/n./@選美比賽;
placate ,/v./@撫慰;,/v./@懷柔;,/v./@和解;
palpate ,/vt./@觸診;
pancake ,/n./@薄烤餅;
parable ,/n./@寓言;,/n./@比喻;
apparel ,/n./@服裝;,/n./@衣服;,/v./@穿@衣;
partake ,/v./@分擔;,/v./@分享;,/v./@參與;,/v./@吃;
passage ,/n./@段落;,/n./@走廊;,/n./@通路;
payable ,/adj./@應付的;
rampage ,/n./@暴怒;,/n./@暴走;,/n./@橫衝直撞;,/n./@胡作非為;,/n./@撒野;
arrange ,/v./@安排;
arsenal ,/n./@軍械庫;,/n./@兵工廠;,/n./@武器储备;,/n./@武器庫;
ashamed ,/adj./@羞愧的;,/adj./@害臊的;
salvage ,/v./@搶救;,/v./@打撈;
athlete ,/n./@田徑運動員;
valence ,/n./@價;,/n./@原子價;,/n./@化合價;,/n./@掛布;,/n./@帷幔;,/n./@窗簾短幔;
acerbic ,/adj./@尖酸的;,/adj./@尖刻的;
javelin ,/n./@标枪;,/n./@投枪;
amenity ,/n./@舒適;,/n./@和諧;
angelic ,/adj./@天使般的;,/adj./@天使的;,/adj./@似天使的;,/adj./@純潔的;,/adj./@純真的;
