backward ,/adj./@向后的;
abstract ,/adj./@抽象的;
catalyst ,/n./@催化剂;,/n./@触媒;,/n./@接触剂;,/n./@催化剂触媒;
fragrant ,/adj./@芬芳的;
haystack ,/n./@乾草堆;
landmark ,/n./@地標;,/n./@界標;,/n./@里程碑;
marksman ,/n./@射手;,/n./@神射手;
pharmacy ,/n./@藥房;,/n./@藥劑學;,/n./@製藥學;,/n./@製藥業;,/n./@配藥學;
pratfall ,/n./@坐跌;,/n./@失態;
standard ,/n./@标准;,/adj./@标准的;,/n./@軍旗;
transact ,/v./@交易;
Flanders ,/n./@弗蘭德斯;
calmness ,/n./@平靜;
darkness ,/n./@黑暗;
flawless ,/adj./@完美的;
fragment ,/n./@碎片;,/n./@片段;
mattress ,/n./@床墊;
passerby ,/n./@路人;
scrabble ,/n./@抓;,/v.//n./@摸索;,/v.//n./@塗鴉;,/n./@拼字遊戲;
scarcely ,/adv./@仅仅;
scramble ,/v./@攀登;,/v./@爬行;
assembly ,/n./@裝配;,/n./@集合;
splatter ,/vt./@泼溅;,/vi./@啪嗒作响;,/n./@啪嗒声;
strategy ,/n./@战略;
stranger ,/n./@陌生人;
strangle ,/v./@勒死;,/vt./@扼死;,/vt./@絞死;
syllable ,/n./@音节;
transect ,/v./@横断;
transfer ,/v./@轉移;
wrangler ,/n./@爭論者;,/n./@牧人;
Sanskrit ,/n./@梵文;,/n./@梵語;,/adj./@梵文的;,/adj./@梵語的;
charming ,/adj./@迷人的;
chastity ,/n./@贞洁;
classify ,/v./@分类;
dazzling ,/adj./@令人目眩的;
flagship ,/n./@旗舰;
farthing ,/n./@一点;,/n./@法新@(四分之一便士);
landfill ,/n./@垃圾填埋;,/n./@垃圾填埋地;
anything ,/pron./@任何事;
artistry ,/n./@艺术技巧;,/n./@艺术才华;,/n./@艺术性;
scarcity ,/n./@不足;
scathing ,/adj./@尖刻的;,/adj./@苛刻的;,/adj./@嚴厲的;,/adj./@傷害的;,/adj./@損傷的;
starfish ,/n./@海星;
straight ,/adj./@直的;,/adj./@直接的;
starving ,/adj./@饥饿的;
synaptic ,/adj./@突触的;
transfix ,/vt./@驚呆;,/vt./@嚇呆;,/vt./@刺穿;,/vt./@戳穿;
transmit ,/v./@傳輸;,/v./@傳播;
backdrop ,/n./@背景幕;,/n./@背景;
platform ,/n./@平台;
passport ,/n./@护照;
password ,/n./@密码;
rhapsody ,/n./@狂想曲;
scaffold ,/n./@脚手架;,/n./@绞刑台;
standoff ,/n./@僵持;,/n./@均衡;,/n./@僵局;
thraldom ,/n./@奴役;,/n./@奴隸身分;
abruptly ,/adv./@突然地;
handcuff ,/n./@手銬;
kashruth ,/redirected./@target="kashrut";
watchful ,/adj./@注意的;,/adj./@警惕的;
decypher ,/v./@破譯;
lengthen ,/v./@变长;
entrench ,/v./@確立;,/v./@牢固;,/v./@挖掘;,/v./@用壕溝圍住;
newlywed ,/n./@新婚夫妇;
reckless ,/adj./@魯莽的;
recently ,/adv./@近来;
tendency ,/n./@趋势;
eggplant ,/n./@茄子;
henchman ,/n./@亲信;,/n./@黨羽;,/n./@爪牙;,/n./@幫兇;,/n./@侍从;
heraldry ,/n./@纹章学;,/n./@盛典;
merchant ,/n./@商人;
pregnant ,/adj./@怀孕的;
stealthy ,/adj./@秘密的;,/adj./@偷偷摸摸的;,/adj./@鬼鬼祟祟的;
trespass ,/v./@擅闖;,/v./@侵入;,/v./@冒犯;,/v./@打擾;,/vi./@犯罪;,/n./@罪過;,/n./@非法侵入;
dyslexic ,/adj./@诵读困难的;
hysteric ,/adj./@亢奮的;
precinct ,/n./@警区;,/n./@选区;,/n./@步行区;,/n./@周边区域;
pressing ,/adj./@急迫的;
restrict ,/v./@限制;
splendid ,/adj./@壮丽的;
meltdown ,/n./@熔毀;,/n./@崩潰;,/n./@潰敗;
splendor ,/n./@光彩;,/n./@壯麗;,/n./@壯觀;,/n./@光輝;,/n./@輝煌;
chestnut ,/n./@栗子;,/n./@栗樹;
spectrum ,/n./@光谱;,/n./@频谱;,/n./@范围;,/n./@余象;
Cyrillic ,/adj./@西里尔字母的;,/n./@西里尔字母;
childish ,/adj./@幼稚的;
cynicism ,/n./@玩世不恭;,/n./@憤世嫉俗;,/n./@犬儒主義;,/n./@冷嘲熱諷;
distinct ,/adj./@差别明显的;,/adj./@有區別的;,/adj./@明顯的;,/adj./@清楚的;
district ,/n./@区;
gimmicky ,/adj./@耍花招的;,/adj./@華而不實的;,/adj./@作噱頭的;
kingship ,/n./@國王身分;,/n./@王權;,/n./@王位;
linchpin ,/n./@关键;,/n./@制轮楔;,/n./@轮辖;
midnight ,/n./@午夜;
ministry ,/n./@內閣;,/n./@部;
instinct ,/n./@本能;
skirmish ,/n./@小衝突;
simplify ,/v./@简化;
spiffing ,/adj./@極好的;
striking ,/adj./@顯著的;
thinking ,/v./@想;,/n./@思想;
twilight ,/n./@黎明;,/n./@黃昏;,/n./@微亮;
birthday ,/n./@生日;
chivalry ,/n./@騎士精神;,/n./@騎士風度;,/n./@騎士制度;
dispatch ,/v./@派遣;,/v./@分派;,/n./@派遣;,/n./@急件;,/n./@杀死;,/vt./@杀死;,/vt./@发送;
distract ,/v./@分心;
flippant ,/adj./@輕率的;
mismatch ,/v./@错配;
infantry ,/n./@步兵;,/n./@步兵團;
vibrancy ,/n./@震動;,/n./@活力;
withdraw ,/v./@撤退;,/v./@收回;,/v./@撤销;
brighten ,/v./@使發光;
children ,/n./@孩子@们;
cylinder ,/n./@圆筒;,/n./@汽缸;,/n./@圆柱;
distress ,/v./使@痛苦;,/v./使@悲伤;,/n./@痛苦;,/n./@悲伤;,/n./@悲痛;,/n./@危難;
frighten ,/v./@惊吓;
