Kabbalah ,/n./@卡巴拉;
calabash ,/n./@葫蘆;,/n./@瓢;,/n./@加拉巴果;,/n./@加拉巴木;
parallax ,/n./@视差;
aardvark ,/n./@土豚;,/n./@食蟻獸;
Carthage ,/n./@迦太基;
bandange ,/n./@绷带;
bracelet ,/n./@括号;
aberrant ,/adj./@異常的;
baseball ,/n./@棒球;
basement ,/n./@地下室;
calendar ,/n./@日历;
careless ,/adj./@马虎的;,/adj./@疏忽的;
cashmere ,/n./@羊絨;
castrate ,/vt./@閹割;
catheter ,/n./@導尿管;,/n./@導管;
catalyse ,/redirected./@target="catalyze";
catalyze ,/vt./@催化;,/vt./@催動;,/vt./@刺激;,/vt./@促發;,/vt./@促進;
adherent ,/n./@追隨者;,/n./@擁護者;
adjacent ,/adj./@邻近的;,/adj./@毗連的;,/adj./@相鄰的;,/adj./@鄰接的;
advanced ,/adj./@先进的;
faceless ,/adj./@無臉的;,/adj./@無面孔的;
farewell ,/v./@告别;
gamester ,/n./@賭徒;,/n./@玩家;
grapheme ,/n./@字素;,/n./@字母;,/n./@字位;
lameness ,/n./@瘸腿;,/n./@跛足;,/n./@蹩腳;
alphabet ,/n./@字母表;
allergen ,/n./@過敏原;
lavender ,/n./@薰衣草;
massacre ,/n./@屠殺;,/n./@大屠殺;
maternal ,/adj./@母親的;,/adj./@母性的;,/adj./@母系的;
palpable ,/adj./@明顯的;,/adj./@易覺察的;
placenta ,/n./@胎盤;,/n./@胎座;
appalled ,/adj./@惊骇的;
parallel ,/adj./@平行的;
paralyze ,/v./@使瘫痪;
apparent ,/adj./@明显的;,/adj./@表面上的;
paternal ,/adj./@父親的;
pavement ,/n./@人行道;,/n./@路面;,/n./@铺面;,/n./@铺路材料;
armament ,/n./@武器;,/n./@軍備;,/n./@戰備;
scavenge ,/vt./@搜寻;
assemble ,/v./@集合;,/v./@装配;
stampede ,/n./@驚跑;,/v./@驚逃;
whatever ,/pron./@無論什麼;
allergic ,/adj./@过敏性的;
magnetic ,/adj./@磁性的;
appendix ,/n./@附录;,/n./@阑尾;
