Aquarian ,/adj./@寶瓶座的;,/adj./@寶瓶宮的;
Aquarius ,/n./@寶瓶座;,/n./@寶瓶宮;,/n./@水瓶座;
academia ,/n./@學術界;,/n./@學術圈;,/n./@學術環境;
aedicula ,/n./@小神龛;,/n./@小神殿;
adequate ,/adj./@足够的;
aviation ,/n./@航空;
paranoia ,/n./@妄想症;
analogue ,/n./@類似物;,/adj./@類似的;,/n./@模擬;
nauseous ,/adj./@想嘔吐的;,/adj./@令人作嘔的;,/adj./@噁心的;,/adj./@令人噁心的;,/adj./@感到噁心的;
Laurasia ,/n./@勞亞大陸;
aquarium ,/n./@水族館;,/n./@水缸;,/n./@養魚池;,/n./@水族池;
auxilian ,/n./@辅助人员;
audience ,/n./@听众;
cautious ,/adj./@谨慎的;
audition ,/n./@試音;,/v.//n./@試聽;,/n./@聽力;,/n./@聽覺;,/v.//n./@試唱;,/v./@面試;,/n./@试演;,/vi./@试演;
evacuate ,/v./@疏散;,/v./@撤退;,/v./@排泄;
evaluate ,/v./@评估;
epilogue ,/n./@尾聲;,/n./@結局;,/n./@後記;,/n./@收場白;
equation ,/n./@等式;,/n./@方程式;
leukemia ,/redirected./@target="leukaemia";
equipage ,/n./@馬車;
euphoria ,/n./@極度愉快;
initiate ,/v./@开始;,/v./@创始;
dialogue ,/n./@對話;,/v./@對話;
ideation ,/n./@觀念構成;
minutiae ,/n./@小細節;,/n./@小事;
boutique ,/n./@精品店;,/n./@精品屋;,/adj./@精品屋的;
