Inverness ,/n./@印威內斯;,/n./@因弗內斯;
charlatan ,/n./@吹牛者;,/n./@江湖郎中;
paragraph ,/n./@段落;,/n./@節;
backplane ,/n./@底板;
backwater ,/n./@逆流水;,/n./@落後地區;,/n./@荒僻的地方;,/n./@與世隔絕的地方;
bartender ,/n./@酒保;
challenge ,/n./@挑戰;,/v./@挑戰;,/v./@質問;
champagne ,/n./@香槟;
character ,/n./@性格;,/n./@角色;,/n./@特性;,/n./@字母;
classmate ,/n./@同学;
carpenter ,/n./@木匠;
adversary ,/n./@敵手;
flattened ,/adj./@沒精打采的;
fraternal ,/adj./@兄弟般的;,/adj./@兄弟的;
afterward ,/adv./@後來;,/adv./@之後;
hashtable ,/n./@哈希表;,/n./@散列表;
landscape ,/n./@风景;,/n./@风景画;,/n./@地形;
ampersand ,/n./@&;
planetary ,/adj./@行星的;
apprehend ,/v./@逮捕;
apartment ,/n./@公寓;
passenger ,/n./@旅客;
archetype ,/n./@典範;
ascendant ,/adj./@有影響力的;,/adj./@上升的;
sacrament ,/n./@聖禮;,/n./@聖典;,/n./@聖餐;,/n./@聖物;
sharpener ,/n./@削筆刀;,/n./@磨刀石;
statement ,/n./@聲明;,/n./@陳述;,/n./@口供;
trademark ,/n./@商標;
translate ,/v./@翻譯;
warranted ,/adj./@擔保的;
wasteland ,/n./@废土;
waterfall ,/n./@瀑布;
watermark ,/n./@水印;
watershed ,/n./@分水嶺;
alchemist ,/n./@鍊金術士;,/n./@煉金師;
makeshift ,/adj./@临时替代的;,/adj./@臨時代用的;,/adj./@臨時用的;,/adj./@權宜的;
maternity ,/n./@母性;,/n./@母亲身份;,/n./@母愛;,/n./@產科病房;,/adj./@產婦的;,/adj./@產科的;
arresting ,/adj./@吸引人的;
accessory ,/n./@配件;,/n./@附件;,/adj./@附加的;,/adj./@附屬的;,/adj./@輔助的;,/n./@裝飾品;,/n./@從犯;
framework ,/n./@框架;,/n./@体系;
carefully ,/adv./@小心地;
awestruck ,/adj./@充滿敬畏的;
ballistic ,/adj./@彈道的;
classical ,/adj./@經典的;,/adj./@古典的;
candidacy ,/n./@候選資格;,/n./@候選狀態;,/n./@候補資格;
capillary ,/n./@毛细管;
cascading ,/n./@級聯;,/n./@串接;,/n./@階式滲透;
fantastic ,/adj./@奇异的;,/adj./@幻想的;,/adj./@极好的;
matriarch ,/n./@女统治者;,/n./@女家长;
ancillary ,/adj./@次要的;
anarchism ,/n./@無政府主義;
anarchist ,/n./@反抗權威的人;,/n./@無政府主義者;,/adj./@無政府主義的;
appalling ,/adj./@骇人的;
plainsman ,/n./@平原居民;
plaintiff ,/n./@原告;
practical ,/adj./@實際的;
pragmatic ,/adj./@實際的;,/adj./@實用主義的;,/adj./@務實的;,/adj./@實幹的;
partially ,/adv./@部分地;
patriarch ,/n./@族长;,/n./@元老;,/n./@大主教;
arbitrary ,/adj./@专横的;,/adj./@任意的;
arthritic ,/adj./@关节炎的;,/adj./@患关节炎的;
arthritis ,/n./@关节炎;
shamanism ,/n./@黃教;,/n./@萨满教;
sarcastic ,/adj./@挖苦的;,/adj./@讽刺的;
stability ,/n./@穩定性;
statistic ,/n./@资料;,/n./@统计数据;
assistant ,/n./@助手;,/adj./@辅助的;
vandalism ,/n./@破壞行為;
abstinent ,/adj./@禁欲的;,/adj./@有節制的;,/adj./@飲食有度的;
fanciness ,/n./@空想;,/n./@花哨;
franchise ,/n./@特權;,/n./@公民權;,/n./@經銷權;
alignment ,/n./@對準;,/n./@準線;
