Index,Word,Aura Id,Aura Name,Time Added,
1,"dynamo","1","Your Right To Be Rich","Mon 20 Mar 2023 02:42:32 GMT",
2,"premise","1","Your Right To Be Rich","Mon 20 Mar 2023 02:42:32 GMT",
3,"covet","1","Your Right To Be Rich","Mon 20 Mar 2023 02:42:32 GMT",
4,"dignified","1","Your Right To Be Rich","Mon 20 Mar 2023 02:42:32 GMT",
5,"procrastinate","1","Your Right To Be Rich","Mon 20 Mar 2023 04:31:35 GMT",
6,"sophisticated","2","The Go Programming Language","Mon 20 Mar 2023 04:38:04 GMT",
7,"aggregate","2","The Go Programming Language","Mon 20 Mar 2023 04:38:04 GMT",
8,"foil","3","Fantastic Beasts: The Secrets of Dumbledore","Mon 27 Mar 2023 13:53:22 GMT",
9,"vibe","4","Mike Posner - I Took A Pill In Ibiza","Mon 27 Mar 2023 13:59:14 GMT",
10,"sylvan","5","Superbrothers: Sword & Sworcery EP","Mon 27 Mar 2023 14:01:49 GMT",
11,"woeful","5","Superbrothers: Sword & Sworcery EP","Mon 27 Mar 2023 14:01:49 GMT",
12,"unhinge","6","Harry Potter and the Order of the Phoenix","Mon 27 Mar 2023 14:06:31 GMT",
13,"archetype","5","Superbrothers: Sword & Sworcery EP","Mon 27 Mar 2023 14:08:25 GMT",
14,"celestial","7","glitch.com","Mon 27 Mar 2023 14:10:29 GMT",
15,"commentary","5","Superbrothers: Sword & Sworcery EP","Mon 27 Mar 2023 14:08:25 GMT",
16,"unyielding","8","Harry Potter and the Deathly Hallows – Part 2","Mon 27 Mar 2023 14:10:29 GMT",
