abduct ,/v./@綁架;
abject ,/adj./@卑鄙的;,/adj./@可憐的;,/adj./@不幸的;
abjure ,/v./@發誓放棄;,/v./@抵制;
ablush ,/adj./@臉紅的;
aboard ,/adj./@在船上;,/adj./@在車上;,/adj./@上船;,/adj./@上飛機;
abrupt ,/adj./@突然;
absent ,/adj./@缺席的;,/adj./@缺少的;
absorb ,/v./@吸收;,/v./@理解;
absurd ,/adj./@荒謬的;,/adj./@荒唐的;
accede ,/v./@同意;
accent ,/v./@重讀;,/n./@口音;,/v./@強調;
accept ,/v./@接受;
access ,/v./@使用;,/v./@接近;,/v./@進入;
accord ,/v./@符合;,/v./@一致;,/v./@根据;,/n./@协议;
accrue ,/v./@产生;,/v./@发生;
accuse ,/v./@控告;
action ,/n./@行動;,/n./@行爲;
active ,/adj./@積極的;,/adj./@活躍的;
actual ,/adj./@眞實的;
addict ,/v./@沉溺;
adhere ,/v./@依附;,/v./@粘附;
adjust ,/v./@調整;
admire ,/v./@欽佩;,/v./@仰慕;
adverb ,/n./@副詞;
advert ,/v./@引起註意;
advice ,/n./@建議;
advise ,/v./@建議;
aerial ,/adj./@空中的;,/adj./@航空的;,/adj./@天空的;,/adj./@空氣的;,/n./@天綫;
affair ,/n./@事情;
affect ,/v./@影響;
affirm ,/v./@斷定;
afield ,/adj./@在遠處;
afraid ,/v./@恐怕;,/v./@害怕;
agency ,/n./@代理;
agenda ,/n./@議事日程;
albeit ,/conj./@雖然;,/conj./@卽使;
albion ,/n./@英格蘭@或不列顛的美稱;
alight ,/adj./@燒著的;
allege ,/v./@斷言;,/v./@宣稱;
allude ,/v./@間接提到;
allure ,/v./@吸引;
almost ,/adv./@幾乎;
always ,/adv./@總是;
amount ,/n./@數量;
ampere ,/n./@安培;
analog ,/n./@模拟;,/n./@类似;
anchor ,/n./@錨;,/v./@固定;
anemic ,/adj./@無活力的;
animal ,/n./@動物;
animus ,/n./@敵意;
annual ,/adj./@每年的;
answer ,/v.//n./@回答;
anthem ,/n./@頌歌;,/n./@聖歌;,/n./@贊美詩;,/n./@贊美歌;
antler ,/n./@鹿角;,/n./@茸角;
anyhow ,/adv./@無論如何;
anyone ,/n./@任何人;
anyway ,/adv./@不管怎樣;
apache ,/n./@阿帕奇;
apathy ,/n./@冷漠;
appall ,/v./@驚嚇;
appeal ,/v./@上訴;,/v./@呼吁;,/adj./@有吸引力;
appear ,/v./@出現;
append ,/v./@附加;
appose ,/vt./@并列;,/vt./@置於@(近處);
arcana ,/n./@奧秘;,/n./@神秘;
